index	wordform1	wordform2	wordform1_orth	wordform2_orth	stem	output
693	s t æ m p	s t æ m p t	stamp	stamped	⋊ s t ɑ m p ⋉	⋊ s t ɑ m p t ⋉
694	g l oʊ	g l oʊ d	glow	glowed	⋊ g l o ⋉	⋊ g l o d ⋉
695	s p i d	s p ɛ d	speed	speeded	⋊ s p i d ⋉	⋊ s p ɛ d ⋉
696	p ɹ ə g ɹ ɛ s	p ɹ ə g ɹ ɛ s t	progress	progressed	⋊ p ɹ ə g ɹ ɛ s ⋉	⋊ p ɹ ə g ɹ ɛ s t ⋉
697	ɪ n s t ɹ ʌ k t	ɪ n s t ɹ ʌ k t ə d	instruct	instructed	⋊ ɪ n s t ɹ ʌ k t ⋉	⋊ ɪ n s t ɹ ʌ k t ɪ d ⋉
698	m ʌ m b ə l	m ʌ m b ə l d	mumble	mumbled	⋊ m ʌ m b ə l ⋉	⋊ m ʌ m b ə l d ⋉
699	f ɹ aʊ n	f ɹ aʊ n d	frown	frowned	⋊ f ɹ a ʊ n ⋉	⋊ f ɹ a ʊ n d ⋉
700	d ɪ v oʊ ɹ s	d ɪ v oʊ ɹ s t	divorce	divorced	⋊ d ɪ v o ɹ s ⋉	⋊ d ɪ v o ɹ s t ⋉
701	ɪ n k oʊ ɹ p ɚ eɪ t	ɪ n k oʊ ɹ p ɚ eɪ t ə d	incorporate	incorporated	⋊ ɪ n k o ɹ p ɛ ɹ e t ⋉	⋊ ɪ n k o ɹ p ɛ ɹ e t ɪ d ⋉
702	f æ n s i	f æ n s i d	fancy	fancied	⋊ f ɑ n s i ⋉	⋊ f ɑ n s i d ⋉
703	s l æ p	s l æ p t	slap	slapped	⋊ s l ɑ p ⋉	⋊ s l ɑ p t ⋉
704	f æ s ə n eɪ t	f æ s ə n eɪ t ə d	fascinate	fascinated	⋊ f ɑ s ə n e t ⋉	⋊ f ɑ s ə n e t ɪ d ⋉
705	ɹ i ɹ	ɹ i ɹ d	rear	reared	⋊ ɹ i ɹ ⋉	⋊ ɹ i ɹ d ⋉
706	s ɪ p	s ɪ p t	sip	sipped	⋊ s ɪ p ⋉	⋊ s ɪ p t ⋉
707	ɹ ɪ g ɹ ɛ t	ɹ ɪ g ɹ ɛ t ə d	regret	regretted	⋊ ɹ ɪ g ɹ ɛ t ⋉	⋊ ɹ ɪ g ɹ ɛ t ɪ d ⋉
708	k a p i	k a p i d	copy	copied	⋊ k a p i ⋉	⋊ k a p i d ⋉
709	w aɪ n d	w aʊ n d	wind	wound	⋊ w a ɪ n d ⋉	⋊ w a ʊ n d ⋉
710	ɪ n d ʌ l dʒ	ɪ n d ʌ l dʒ d	indulge	indulged	⋊ ɪ n d ʌ l d ʒ ⋉	⋊ ɪ n d ʌ l d ʒ d ⋉
711	l eɪ b ə l	l eɪ b ə l d	label	labelled	⋊ l e b ə l ⋉	⋊ l e b ə l d ⋉
712	t ɪ p	t ɪ p t	tip	tipped	⋊ t ɪ p ⋉	⋊ t ɪ p t ⋉
713	f l ʌ d	f l ʌ d ə d	flood	flooded	⋊ f l ʌ d ⋉	⋊ f l ʌ d ɪ d ⋉
714	k ə n d ɪ ʃ ə n	k ə n d ɪ ʃ ə n d	condition	conditioned	⋊ k ə n d ɪ ʃ ə n ⋉	⋊ k ə n d ɪ ʃ ə n d ⋉
715	ə k j u m j ə l eɪ t	ə k j u m j ə l eɪ t ə d	accumulate	accumulated	⋊ ə k j u m j ə l e t ⋉	⋊ ə k j u m j ə l e t ɪ d ⋉
716	ɹ ɪ w oʊ ɹ d	ɹ ɪ w oʊ ɹ d ə d	reward	rewarded	⋊ ɹ ɪ w o ɹ d ⋉	⋊ ɹ ɪ w o ɹ d ɪ d ⋉
717	k æ m p	k æ m p t	camp	camped	⋊ k ɑ m p ⋉	⋊ k ɑ m p t ⋉
718	b ʊ k	b ʊ k t	book	booked	⋊ b ʊ k ⋉	⋊ b ʊ k t ⋉
719	b æ ŋ	b æ ŋ d	bang	banged	⋊ b ɑ ŋ ⋉	⋊ b ɑ ŋ d ⋉
720	k æ n s ə l	k æ n s ə l d	cancel	cancelled	⋊ k ɑ n s ə l ⋉	⋊ k ɑ n s ə l d ⋉
721	g ɪ g ə l	g ɪ g ə l d	giggle	giggled	⋊ g ɪ g ə l ⋉	⋊ g ɪ g ə l d ⋉
722	g l i m	g l i m d	gleam	gleamed	⋊ g l i m ⋉	⋊ g l i m d ⋉
723	i k w ə l	i k w ə l d	equal	equalled	⋊ i k w ə l ⋉	⋊ i k w ə l d ⋉
724	b aʊ n s	b aʊ n s t	bounce	bounced	⋊ b a ʊ n s ⋉	⋊ b a ʊ n s t ⋉
725	p l aʊ	p l aʊ d	plough	ploughed	⋊ p l a ʊ ⋉	⋊ p l a ʊ d ⋉
726	g æ s p	g æ s p t	gasp	gasped	⋊ g ɑ s p ⋉	⋊ g ɑ s p t ⋉
727	k eɪ ɹ ɪ k t ə ɹ aɪ z	k eɪ ɹ ɪ k t ə ɹ aɪ z d	characterize	characterized	⋊ k e ɹ ɪ k t ə ɹ a ɪ z ⋉	⋊ k e ɹ ɪ k t ə ɹ a ɪ z d ⋉
728	ɛ m p t i	ɛ m p t i d	empty	emptied	⋊ ɛ m p t i ⋉	⋊ ɛ m p t i d ⋉
729	ɪ n d u s	ɪ n d u s t	induce	induced	⋊ ɪ n d u s ⋉	⋊ ɪ n d u s t ⋉
730	t æ p	t æ p t	tap	tapped	⋊ t ɑ p ⋉	⋊ t ɑ p t ⋉
731	p ɹ a p	p ɹ a p t	prop	propped	⋊ p ɹ a p ⋉	⋊ p ɹ a p t ⋉
732	b aʊ	b aʊ d	bow	bowed	⋊ b a ʊ ⋉	⋊ b a ʊ d ⋉
733	æ d v ɚ t aɪ z	æ d v ɚ t aɪ z d	advertise	advertised	⋊ ɑ d v ɛ ɹ t a ɪ z ⋉	⋊ ɑ d v ɛ ɹ t a ɪ z d ⋉
734	ɪ n v eɪ d	ɪ n v eɪ d ə d	invade	invaded	⋊ ɪ n v e d ⋉	⋊ ɪ n v e d ɪ d ⋉
735	l oʊ k eɪ t	l oʊ k eɪ t ə d	locate	located	⋊ l o k e t ⋉	⋊ l o k e t ɪ d ⋉
736	dʒ ɚ k	dʒ ɚ k t	jerk	jerked	⋊ d ʒ ɛ ɹ k ⋉	⋊ d ʒ ɛ ɹ k t ⋉
737	ʃ ɛ d	ʃ ɛ d	shed		⋊ ʃ ɛ d ⋉	⋊ ʃ ɛ d ⋉
738	b eɪ t	b eɪ t ə d	bait	baited	⋊ b e t ⋉	⋊ b e t ɪ d ⋉
739	k ɚ l	k ɚ l d	curl	curled	⋊ k ɛ ɹ l ⋉	⋊ k ɛ ɹ l d ⋉
740	s l æ m	s l æ m d	slam	slammed	⋊ s l ɑ m ⋉	⋊ s l ɑ m d ⋉
741	k ɚ s	k ɚ s t	curse	cursed	⋊ k ɛ ɹ s ⋉	⋊ k ɛ ɹ s t ⋉
742	s ʌ b s t ɪ t u t	s ʌ b s t ɪ t u t ə d	substitute	substituted	⋊ s ʌ b s t ɪ t u t ⋉	⋊ s ʌ b s t ɪ t u t ɪ d ⋉
743	ɹ eɪ n	ɹ eɪ n d	rain	rained	⋊ ɹ e n ⋉	⋊ ɹ e n d ⋉
744	p ɪ n	p ɪ n d	pin	pinned	⋊ p ɪ n ⋉	⋊ p ɪ n d ⋉
745	s p ɪ t	s p æ t	spit	spat	⋊ s p ɪ t ⋉	⋊ s p ɑ t ⋉
746	ɹ ɪ v aɪ v	ɹ ɪ v aɪ v d	revive	revived	⋊ ɹ ɪ v a ɪ v ⋉	⋊ ɹ ɪ v a ɪ v d ⋉
747	tʃ i ɹ	tʃ i ɹ d	cheer	cheered	⋊ t ʃ i ɹ ⋉	⋊ t ʃ i ɹ d ⋉
748	s w ɛ l	s w ɛ l d	swell	swelled	⋊ s w ɛ l ⋉	⋊ s w ɛ l d ⋉
749	ə k a m p l ɪ ʃ	ə k a m p l ɪ ʃ t	accomplish	accomplished	⋊ ə k a m p l ɪ ʃ ⋉	⋊ ə k a m p l ɪ ʃ t ⋉
750	k ə n t ɹ æ k t	k ə n t ɹ æ k t ə d	contract	contracted	⋊ k ə n t ɹ ɑ k t ⋉	⋊ k ə n t ɹ ɑ k t ɪ d ⋉
751	ɪ k s i d	ɪ k s i d ə d	exceed	exceeded	⋊ ɪ k s i d ⋉	⋊ ɪ k s i d ɪ d ⋉
752	ɹ æ t ə l	ɹ æ t ə l d	rattle	rattled	⋊ ɹ ɑ t ə l ⋉	⋊ ɹ ɑ t ə l d ⋉
753	h i l	h i l d	heal	healed	⋊ h i l ⋉	⋊ h i l d ⋉
754	ɹ ɪ p	ɹ ɪ p t	rip	ripped	⋊ ɹ ɪ p ⋉	⋊ ɹ ɪ p t ⋉
755	p ɹ ə n aʊ n s	p ɹ ə n aʊ n s t	pronounce	pronounced	⋊ p ɹ ə n a ʊ n s ⋉	⋊ p ɹ ə n a ʊ n s t ⋉
756	ɪ n ɪ ʃ i eɪ t	ɪ n ɪ ʃ i eɪ t ə d	initiate	initiated	⋊ ɪ n ɪ ʃ i e t ⋉	⋊ ɪ n ɪ ʃ i e t ɪ d ⋉
757	s t i ɹ	s t i ɹ d	steer	steered	⋊ s t i ɹ ⋉	⋊ s t i ɹ d ⋉
758	s k ɹ æ m b ə l	s k ɹ æ m b ə l d	scramble	scrambled	⋊ s k ɹ ɑ m b ə l ⋉	⋊ s k ɹ ɑ m b ə l d ⋉
759	ɹ a b	ɹ a b d	rob	robbed	⋊ ɹ a b ⋉	⋊ ɹ a b d ⋉
760	k oʊ oʊ ɹ d ɪ n eɪ t	k oʊ oʊ ɹ d ɪ n eɪ t ə d	co-ordinate	co-ordinated	⋊ k o o ɹ d ɪ n e t ⋉	⋊ k o o ɹ d ɪ n e t ɪ d ⋉
761	d ɪ s t oʊ ɹ t	d ɪ s t oʊ ɹ t ə d	distort	distorted	⋊ d ɪ s t o ɹ t ⋉	⋊ d ɪ s t o ɹ t ɪ d ⋉
762	g ɹ ɪ p	g ɹ ɪ p t	grip	gripped	⋊ g ɹ ɪ p ⋉	⋊ g ɹ ɪ p t ⋉
763	t ɹ eɪ l	t ɹ eɪ l d	trail	trailed	⋊ t ɹ e l ⋉	⋊ t ɹ e l d ⋉
764	t ɪ l t	t ɪ l t ə d	tilt	tilted	⋊ t ɪ l t ⋉	⋊ t ɪ l t ɪ d ⋉
765	t ɹ a t	t ɹ a t ə d	trot	trotted	⋊ t ɹ a t ⋉	⋊ t ɹ a t ɪ d ⋉
766	d ɪ s p aɪ z	d ɪ s p aɪ z d	despise	despised	⋊ d ɪ s p a ɪ z ⋉	⋊ d ɪ s p a ɪ z d ⋉
767	ɛ n t ɚ t eɪ n	ɛ n t ɚ t eɪ n d	entertain	entertained	⋊ ɛ n t ɛ ɹ t e n ⋉	⋊ ɛ n t ɛ ɹ t e n d ⋉
768	tʃ oʊ k	tʃ oʊ k t	choke	choked	⋊ t ʃ o k ⋉	⋊ t ʃ o k t ⋉
769	ɹ ɪ k ɹ u t	ɹ ɪ k ɹ u t ə d	recruit	recruited	⋊ ɹ ɪ k ɹ u t ⋉	⋊ ɹ ɪ k ɹ u t ɪ d ⋉
770	æ d v ə k eɪ t	æ d v ə k eɪ t ə d	advocate	advocated	⋊ ɑ d v ə k e t ⋉	⋊ ɑ d v ə k e t ɪ d ⋉
771	p oʊ k	p oʊ k t	poke	poked	⋊ p o k ⋉	⋊ p o k t ⋉
772	s ɚ v eɪ	s ɚ v eɪ d	survey	surveyed	⋊ s ɛ ɹ v e ⋉	⋊ s ɛ ɹ v e d ⋉
773	a n ɚ	a n ɚ d	honour	honoured	⋊ a n ɛ ɹ ⋉	⋊ a n ɛ ɹ d ⋉
774	k ʌ l t ɪ v eɪ t	k ʌ l t ɪ v eɪ t ə d	cultivate	cultivated	⋊ k ʌ l t ɪ v e t ⋉	⋊ k ʌ l t ɪ v e t ɪ d ⋉
775	ʌ t ɚ	ʌ t ɚ d	utter	uttered	⋊ ʌ t ɛ ɹ ⋉	⋊ ʌ t ɛ ɹ d ⋉
776	tʃ i t	tʃ i t ə d	cheat	cheated	⋊ t ʃ i t ⋉	⋊ t ʃ i t ɪ d ⋉
777	ɪ n h æ n s	ɪ n h æ n s t	enhance	enhanced	⋊ ɪ n h ɑ n s ⋉	⋊ ɪ n h ɑ n s t ⋉
778	ɹ a k	ɹ a k t	rock	rocked	⋊ ɹ a k ⋉	⋊ ɹ a k t ⋉
779	k ɹ aʊ tʃ	k ɹ aʊ tʃ t	crouch	crouched	⋊ k ɹ a ʊ t ʃ ⋉	⋊ k ɹ a ʊ t ʃ t ⋉
780	k eɪ t ɚ	k eɪ t ɚ d	cater	catered	⋊ k e t ɛ ɹ ⋉	⋊ k e t ɛ ɹ d ⋉
781	ʃ eɪ v	ʃ eɪ v d	shave	shaved	⋊ ʃ e v ⋉	⋊ ʃ e v d ⋉
782	t i z	t i z d	tease	teased	⋊ t i z ⋉	⋊ t i z d ⋉
783	k a ŋ k ɚ	k a ŋ k ɚ d	conquer	conquered	⋊ k a ŋ k ɛ ɹ ⋉	⋊ k a ŋ k ɛ ɹ d ⋉
784	ɪ n t ɚ v i n	ɪ n t ɚ v i n d	intervene	intervened	⋊ ɪ n t ɛ ɹ v i n ⋉	⋊ ɪ n t ɛ ɹ v i n d ⋉
785	s æ n d w ɪ tʃ	s æ n d w ɪ tʃ t	sandwich	sandwiched	⋊ s ɑ n d w ɪ t ʃ ⋉	⋊ s ɑ n d w ɪ t ʃ t ⋉
786	s k w eɪ ɹ	s k w eɪ ɹ d	square	squared	⋊ s k w e ɹ ⋉	⋊ s k w e ɹ d ⋉
787	b l ɪ ŋ k	b l ɪ ŋ k t	blink	blinked	⋊ b l ɪ ŋ k ⋉	⋊ b l ɪ ŋ k t ⋉
788	h ɔ n t	h ɔ n t ə d	haunt	haunted	⋊ h ɔ n t ⋉	⋊ h ɔ n t ɪ d ⋉
789	m a n ɪ t ɚ	m a n ɪ t ɚ d	monitor	monitored	⋊ m a n ɪ t ɛ ɹ ⋉	⋊ m a n ɪ t ɛ ɹ d ⋉
790	w i v	w oʊ v	weave		⋊ w i v ⋉	⋊ w o v ⋉
791	f l ʌ ʃ	f l ʌ ʃ t	flush	flushed	⋊ f l ʌ ʃ ⋉	⋊ f l ʌ ʃ t ⋉
792	b ɪ w ɪ l d ɚ	b ɪ w ɪ l d ɚ d	bewilder	bewildered	⋊ b ɪ w ɪ l d ɛ ɹ ⋉	⋊ b ɪ w ɪ l d ɛ ɹ d ⋉
793	h oʊ ɹ ɪ f aɪ	h oʊ ɹ ɪ f aɪ d	horrify	horrified	⋊ h o ɹ ɪ f a ɪ ⋉	⋊ h o ɹ ɪ f a ɪ d ⋉
794	ɹ ɪ s t ɹ ɪ k t	ɹ ɪ s t ɹ ɪ k t ə d	restrict	restricted	⋊ ɹ ɪ s t ɹ ɪ k t ⋉	⋊ ɹ ɪ s t ɹ ɪ k t ɪ d ⋉
795	s ɪ g n ə l	s ɪ g n ə l d	signal	signalled	⋊ s ɪ g n ə l ⋉	⋊ s ɪ g n ə l d ⋉
796	s t eɪ dʒ	s t eɪ dʒ d	stage	staged	⋊ s t e d ʒ ⋉	⋊ s t e d ʒ d ⋉
797	h i v	h i v d	heave	heaved	⋊ h i v ⋉	⋊ h i v d ⋉
798	ə w oʊ ɹ d	ə w oʊ ɹ d ə d	award	awarded	⋊ ə w o ɹ d ⋉	⋊ ə w o ɹ d ɪ d ⋉
799	w aɪ d ə n	w aɪ d ə n d	widen	widened	⋊ w a ɪ d ə n ⋉	⋊ w a ɪ d ə n d ⋉
800	ɪ n l a ɹ dʒ	ɪ n l a ɹ dʒ d	enlarge	enlarged	⋊ ɪ n l a ɹ d ʒ ⋉	⋊ ɪ n l a ɹ d ʒ d ⋉
801	f l ɪ k ɚ	f l ɪ k ɚ d	flicker	flickered	⋊ f l ɪ k ɛ ɹ ⋉	⋊ f l ɪ k ɛ ɹ d ⋉
802	s t æ g ɚ	s t æ g ɚ d	stagger	staggered	⋊ s t ɑ g ɛ ɹ ⋉	⋊ s t ɑ g ɛ ɹ d ⋉
803	s t ɛ m	s t ɛ m d	stem	stemmed	⋊ s t ɛ m ⋉	⋊ s t ɛ m d ⋉
804	t a p	t a p t	top	topped	⋊ t a p ⋉	⋊ t a p t ⋉
805	ə s t a n ɪ ʃ	ə s t a n ɪ ʃ t	astonish	astonished	⋊ ə s t a n ɪ ʃ ⋉	⋊ ə s t a n ɪ ʃ t ⋉
806	ɹ eɪ dʒ	ɹ eɪ dʒ d	rage	raged	⋊ ɹ e d ʒ ⋉	⋊ ɹ e d ʒ d ⋉
807	m ə n ɪ p j ʊ l eɪ t	m ə n ɪ p j ʊ l eɪ t ə d	manipulate	manipulated	⋊ m ə n ɪ p j ʊ l e t ⋉	⋊ m ə n ɪ p j ʊ l e t ɪ d ⋉
808	s t ɹ aɪ v	s t ɹ oʊ v	strive	strove	⋊ s t ɹ a ɪ v ⋉	⋊ s t ɹ o v ⋉
809	d ɪ s i v	d ɪ s i v d	deceive	deceived	⋊ d ɪ s i v ⋉	⋊ d ɪ s i v d ⋉
810	h ɔ l	h ɔ l d	haul	hauled	⋊ h ɔ l ⋉	⋊ h ɔ l d ⋉
811	m oʊ n	m oʊ n d	moan	moaned	⋊ m o n ⋉	⋊ m o n d ⋉
812	k a n t æ k t	k a n t æ k t ə d	contact	contacted	⋊ k a n t ɑ k t ⋉	⋊ k a n t ɑ k t ɪ d ⋉
813	p ʌ z ə l	p ʌ z ə l d	puzzle	puzzled	⋊ p ʌ z ə l ⋉	⋊ p ʌ z ə l d ⋉
814	ə t eɪ n	ə t eɪ n d	attain	attained	⋊ ə t e n ⋉	⋊ ə t e n d ⋉
815	w ɪ p	w ɪ p t	whip	whipped	⋊ w ɪ p ⋉	⋊ w ɪ p t ⋉
816	d ɪ k t eɪ t	d ɪ k t eɪ t ə d	dictate	dictated	⋊ d ɪ k t e t ⋉	⋊ d ɪ k t e t ɪ d ⋉
817	f ʌ ŋ k ʃ ə n	f ʌ ŋ k ʃ ə n d	function	functioned	⋊ f ʌ ŋ k ʃ ə n ⋉	⋊ f ʌ ŋ k ʃ ə n d ⋉
818	ɪ m p l ə m ɛ n t	ɪ m p l ə m ɛ n t ə d	implement	implemented	⋊ ɪ m p l ə m ɛ n t ⋉	⋊ ɪ m p l ə m ɛ n t ɪ d ⋉
819	v ɛ n tʃ ɚ	v ɛ n tʃ ɚ d	venture	ventured	⋊ v ɛ n t ʃ ɛ ɹ ⋉	⋊ v ɛ n t ʃ ɛ ɹ d ⋉
820	f oʊ ɹ m j ʊ l eɪ t	f oʊ ɹ m j ʊ l eɪ t ə d	formulate	formulated	⋊ f o ɹ m j ʊ l e t ⋉	⋊ f o ɹ m j ʊ l e t ɪ d ⋉
821	p ɹ i tʃ	p ɹ i tʃ t	preach	preached	⋊ p ɹ i t ʃ ⋉	⋊ p ɹ i t ʃ t ⋉
822	s t ɹ oʊ l	s t ɹ oʊ l d	stroll	strolled	⋊ s t ɹ o l ⋉	⋊ s t ɹ o l d ⋉
823	f ʌ n d	f ʌ n d ə d	fund	funded	⋊ f ʌ n d ⋉	⋊ f ʌ n d ɪ d ⋉
824	ɪ g z æ dʒ ə ɹ eɪ t	ɪ g z æ dʒ ə ɹ eɪ t ə d	exaggerate	exaggerated	⋊ ɪ g z ɑ d ʒ ə ɹ e t ⋉	⋊ ɪ g z ɑ d ʒ ə ɹ e t ɪ d ⋉
825	d æ ʃ	d æ ʃ t	dash	dashed	⋊ d ɑ ʃ ⋉	⋊ d ɑ ʃ t ⋉
826	ɛ k s ə k j u t	ɛ k s ə k j u t ə d	execute	executed	⋊ ɛ k s ə k j u t ⋉	⋊ ɛ k s ə k j u t ɪ d ⋉
827	ʃ ʌ d ɚ	ʃ ʌ d ɚ d	shudder	shuddered	⋊ ʃ ʌ d ɛ ɹ ⋉	⋊ ʃ ʌ d ɛ ɹ d ⋉
828	d æ z ə l	d æ z ə l d	dazzle	dazzled	⋊ d ɑ z ə l ⋉	⋊ d ɑ z ə l d ⋉
829	f l æ t ɚ	f l æ t ɚ d	flatter	flattered	⋊ f l ɑ t ɛ ɹ ⋉	⋊ f l ɑ t ɛ ɹ d ⋉
830	ɪ g z ɚ t	ɪ g z ɚ t ə d	exert	exerted	⋊ ɪ g z ɛ ɹ t ⋉	⋊ ɪ g z ɛ ɹ t ɪ d ⋉
831	s n ɪ f	s n ɪ f t	sniff	sniffed	⋊ s n ɪ f ⋉	⋊ s n ɪ f t ⋉
832	b oʊ l	b oʊ l d	bowl	bowled	⋊ b o l ⋉	⋊ b o l d ⋉
833	g ɹ æ dʒ u eɪ t	g ɹ æ dʒ u eɪ t ə d	graduate	graduated	⋊ g ɹ ɑ d ʒ u e t ⋉	⋊ g ɹ ɑ d ʒ u e t ɪ d ⋉
834	k w ɪ t	k w ɪ t	quit	quitted	⋊ k w ɪ t ⋉	⋊ k w ɪ t ⋉
835	k æ m p eɪ n	k æ m p eɪ n d	campaign	campaigned	⋊ k ɑ m p e n ⋉	⋊ k ɑ m p e n d ⋉
836	w ɪ s ə l	w ɪ s ə l d	whistle	whistled	⋊ w ɪ s ə l ⋉	⋊ w ɪ s ə l d ⋉
837	k a m	k a m d	calm	calmed	⋊ k a m ⋉	⋊ k a m d ⋉
838	f ɹ eɪ m	f ɹ eɪ m d	frame	framed	⋊ f ɹ e m ⋉	⋊ f ɹ e m d ⋉
839	w ɛ l ʃ	w ɛ l ʃ t	welsh	welshed	⋊ w ɛ l ʃ ⋉	⋊ w ɛ l ʃ t ⋉
840	ɪ n v ɪ z ɪ dʒ	ɪ n v ɪ z ɪ dʒ d	envisage	envisaged	⋊ ɪ n v ɪ z ɪ d ʒ ⋉	⋊ ɪ n v ɪ z ɪ d ʒ d ⋉
841	b a m	b a m d	bomb	bombed	⋊ b a m ⋉	⋊ b a m d ⋉
842	s oʊ	s oʊ d	sow	sowed	⋊ s o ⋉	⋊ s o d ⋉
843	d aɪ v	d oʊ v	dive	dived	⋊ d a ɪ v ⋉	⋊ d o v ⋉
844	f l ʌ t ɚ	f l ʌ t ɚ d	flutter	fluttered	⋊ f l ʌ t ɛ ɹ ⋉	⋊ f l ʌ t ɛ ɹ d ⋉
845	s t ɹ aɪ d	s t ɹ oʊ d	stride	strode	⋊ s t ɹ a ɪ d ⋉	⋊ s t ɹ o d ⋉
846	k l æ s p	k l æ s p t	clasp	clasped	⋊ k l ɑ s p ⋉	⋊ k l ɑ s p t ⋉
847	h ɚ l	h ɚ l d	hurl	hurled	⋊ h ɛ ɹ l ⋉	⋊ h ɛ ɹ l d ⋉
848	ɪ m ə t eɪ t	ɪ m ə t eɪ t ə d	imitate	imitated	⋊ ɪ m ə t e t ⋉	⋊ ɪ m ə t e t ɪ d ⋉
849	k ɔ f	k ɔ f t	cough	coughed	⋊ k ɔ f ⋉	⋊ k ɔ f t ⋉
850	h æ m ɚ	h æ m ɚ d	hammer	hammered	⋊ h ɑ m ɛ ɹ ⋉	⋊ h ɑ m ɛ ɹ d ⋉
851	s ɛ n t ɚ	s ɛ n t ɚ d	centre	centred	⋊ s ɛ n t ɛ ɹ ⋉	⋊ s ɛ n t ɛ ɹ d ⋉
852	k ɚ v	k ɚ v d	curve	curved	⋊ k ɛ ɹ v ⋉	⋊ k ɛ ɹ v d ⋉
853	s k ɹ eɪ p	s k ɹ eɪ p t	scrape	scraped	⋊ s k ɹ e p ⋉	⋊ s k ɹ e p t ⋉
854	v a m ɪ t	v a m ɪ t ə d	vomit	vomited	⋊ v a m ɪ t ⋉	⋊ v a m ɪ t ɪ d ⋉
855	h ɔ l t	h ɔ l t ə d	halt	halted	⋊ h ɔ l t ⋉	⋊ h ɔ l t ɪ d ⋉
856	s u	s u d	sue	sued	⋊ s u ⋉	⋊ s u d ⋉
857	ɛ n v i	ɛ n v i d	envy	envied	⋊ ɛ n v i ⋉	⋊ ɛ n v i d ⋉
858	m a ɹ k ɪ t	m a ɹ k ɪ t ə d	market	marketed	⋊ m a ɹ k ɪ t ⋉	⋊ m a ɹ k ɪ t ɪ d ⋉
859	s k w a t	s k w a t ə d	squat	squatted	⋊ s k w a t ⋉	⋊ s k w a t ɪ d ⋉
860	ə d oʊ ɹ	ə d oʊ ɹ d	adore	adored	⋊ ə d o ɹ ⋉	⋊ ə d o ɹ d ⋉
861	ɪ g z ɪ b ɪ t	ɪ g z ɪ b ɪ t ə d	exhibit	exhibited	⋊ ɪ g z ɪ b ɪ t ⋉	⋊ ɪ g z ɪ b ɪ t ɪ d ⋉
862	eɪ k	eɪ k t	ache	ached	⋊ e k ⋉	⋊ e k t ⋉
863	s ɚ k j ʊ l eɪ t	s ɚ k j ʊ l eɪ t ə d	circulate	circulated	⋊ s ɛ ɹ k j ʊ l e t ⋉	⋊ s ɛ ɹ k j ʊ l e t ɪ d ⋉
864	i ɹ ɛ k t	i ɹ ɛ k t ə d	erect	erected	⋊ i ɹ ɛ k t ⋉	⋊ i ɹ ɛ k t ɪ d ⋉
865	s t ʌ n	s t ʌ n d	stun	stunned	⋊ s t ʌ n ⋉	⋊ s t ʌ n d ⋉
866	p ɹ oʊ g ɹ æ m	p ɹ oʊ g ɹ æ m d	programme	programmed	⋊ p ɹ o g ɹ ɑ m ⋉	⋊ p ɹ o g ɹ ɑ m d ⋉
867	b l ɚ	b l ɚ d	blur	blurred	⋊ b l ɛ ɹ ⋉	⋊ b l ɛ ɹ d ⋉
868	k a m p ɛ n s eɪ t	k a m p ɛ n s eɪ t ə d	compensate	compensated	⋊ k a m p ɛ n s e t ⋉	⋊ k a m p ɛ n s e t ɪ d ⋉
869	g l eɪ ɹ	g l eɪ ɹ d	glare	glared	⋊ g l e ɹ ⋉	⋊ g l e ɹ d ⋉
870	d aɪ v ɚ t	d aɪ v ɚ t ə d	divert	diverted	⋊ d a ɪ v ɛ ɹ t ⋉	⋊ d a ɪ v ɛ ɹ t ɪ d ⋉
871	s ə b dʒ ɛ k t	s ə b dʒ ɛ k t ə d	subject	subjected	⋊ s ə b d ʒ ɛ k t ⋉	⋊ s ə b d ʒ ɛ k t ɪ d ⋉
872	t ɹ ɛ d	t ɹ a d	tread	trod	⋊ t ɹ ɛ d ⋉	⋊ t ɹ a d ⋉
873	ɪ n t ɹ i g	ɪ n t ɹ i g d	intrigue	intrigued	⋊ ɪ n t ɹ i g ⋉	⋊ ɪ n t ɹ i g d ⋉
874	l ɛ v ə l	l ɛ v ə l d	level	levelled	⋊ l ɛ v ə l ⋉	⋊ l ɛ v ə l d ⋉
875	ʃ ʌ v	ʃ ʌ v d	shove	shoved	⋊ ʃ ʌ v ⋉	⋊ ʃ ʌ v d ⋉
876	l ɪ ŋ g ɚ	l ɪ ŋ g ɚ d	linger	lingered	⋊ l ɪ ŋ g ɛ ɹ ⋉	⋊ l ɪ ŋ g ɛ ɹ d ⋉
877	n æ ʃ ə n ə l aɪ z	n æ ʃ ə n ə l aɪ z d	nationalize	nationalized	⋊ n ɑ ʃ ə n ə l a ɪ z ⋉	⋊ n ɑ ʃ ə n ə l a ɪ z d ⋉
878	h ʌ v ɚ	h ʌ v ɚ d	hover	hovered	⋊ h ʌ v ɛ ɹ ⋉	⋊ h ʌ v ɛ ɹ d ⋉
879	s t eɪ n	s t eɪ n d	stain	stained	⋊ s t e n ⋉	⋊ s t e n d ⋉
880	θ ɹ aɪ v	θ ɹ aɪ v d	thrive	thrived	⋊ θ ɹ a ɪ v ⋉	⋊ θ ɹ a ɪ v d ⋉
881	s ʌ b s ɪ d aɪ z	s ʌ b s ɪ d aɪ z d	subsidize	subsidized	⋊ s ʌ b s ɪ d a ɪ z ⋉	⋊ s ʌ b s ɪ d a ɪ z d ⋉
