lemma_ipa	past_ipa	celex_freq	lemma_orth	past_orth	past_type	past_type2	notes	lemma_unicode	past_unicode
d ɪ n ˈaʊ n s	d ɪ n ˈaʊ n s t	205	denounce	denounced	∅ -> t	regular	NA	dɪnˈWns	dɪnˈWnst
ɪ n s ˈɝ t	ɪ n s ˈɝ t ɨ d	205	insert	inserted	∅ -> ɨ d	regular	NA	ɪnsˈɝt	ɪnsˈɝtɨd
p ɹ ɪ z ˈu m	p ɹ ɪ z ˈu m d	205	presume	presumed	∅ -> d	regular	NA	pɹɪzˈum	pɹɪzˈumd
p ɹ ɪ v ˈeɪ l	p ɹ ɪ v ˈeɪ l d	205	prevail	prevailed	∅ -> d	regular	NA	pɹɪvˈel	pɹɪvˈeld
s p ɹ ˈɪ ŋ k ə l	s p ɹ ˈɪ ŋ k ə l d	204	sprinkle	sprinkled	∅ -> d	regular	NA	spɹˈɪŋkəl	spɹˈɪŋkəld
d ɪ f ˈaɪ	d ɪ f ˈaɪ d	203	defy	defied	∅ -> d	regular	NA	dɪfˈY	dɪfˈYd
d ɪ p l ˈɔɪ	d ɪ p l ˈɔɪ d	203	deploy	deployed	∅ -> d	regular	NA	dɪplˈO	dɪplˈOd
h ˈʌ g	h ˈʌ g d	203	hug	hugged	∅ -> d	regular	NA	hˈʌg	hˈʌgd
k ˈɪ d	k ˈɪ d ɨ d	203	kid	kidded	∅ -> ɨ d	regular	NA	kˈɪd	kˈɪdɨd
s t ɹ ˈi m	s t ɹ ˈi m d	203	stream	streamed	∅ -> d	regular	NA	stɹˈim	stɹˈimd
dʒ ˈoʊ k	dʒ ˈoʊ k t	202	joke	joked	∅ -> t	regular	NA	Jˈok	Jˈokt
b ˈʌ l dʒ	b ˈʌ l dʒ d	201	bulge	bulged	∅ -> d	regular	NA	bˈʌlJ	bˈʌlJd
s ˈɝ k ə l	s ˈɝ k ə l d	201	circle	circled	∅ -> d	regular	NA	sˈɝkəl	sˈɝkəld
s ˈoʊ	s ˈoʊ d	201	sew	sewed	∅ -> d	regular	NA	sˈo	sˈod
ˈeɪ l	ˈeɪ l d	200	ail	ailed	∅ -> d	regular	NA	ˈel	ˈeld
k ə m p ɹ ˈaɪ z	k ə m p ɹ ˈaɪ z d	200	comprise	comprised	∅ -> d	regular	NA	kəmpɹˈYz	kəmpɹˈYzd
g ɹ ˈoʊ n	g ɹ ˈoʊ n d	200	groan	groaned	∅ -> d	regular	NA	gɹˈon	gɹˈond
h ˈʌ m	h ˈʌ m d	200	hum	hummed	∅ -> d	regular	NA	hˈʌm	hˈʌmd
t ˈʌ m b ə l	t ˈʌ m b ə l d	200	tumble	tumbled	∅ -> d	regular	NA	tˈʌmbəl	tˈʌmbəld
h j u m ˈɪ l i eɪ t	h j u m ˈɪ l i eɪ t ɨ d	199	humiliate	humiliated	∅ -> ɨ d	regular	NA	hjumˈɪliet	hjumˈɪlietɨd
dʒ ˈæ m	dʒ ˈæ m d	199	jam	jammed	∅ -> d	regular	NA	Jˈæm	Jˈæmd
k w ˈɪ v ɚ	k w ˈɪ v ɚ d	199	quiver	quivered	∅ -> d	regular	NA	kwˈɪvɚ	kwˈɪvɚd
t ɹ ˈæ k	t ɹ ˈæ k t	199	track	tracked	∅ -> t	regular	NA	tɹˈæk	tɹˈækt
ɹ ˈoʊ t eɪ t	ɹ ˈoʊ t eɪ t ɨ d	198	rotate	rotated	∅ -> ɨ d	regular	NA	ɹˈotet	ɹˈotetɨd
s m ˈu ð	s m ˈu ð d	198	smooth	smoothed	∅ -> d	regular	NA	smˈuð	smˈuðd
s t ˈæ k	s t ˈæ k t	198	stack	stacked	∅ -> t	regular	NA	stˈæk	stˈækt
ɪ n f ˈɛ k t	ɪ n f ˈɛ k t ɨ d	197	infect	infected	∅ -> ɨ d	regular	NA	ɪnfˈɛkt	ɪnfˈɛktɨd
k ɹ ˈʌ m b ə l	k ɹ ˈʌ m b ə l d	196	crumble	crumbled	∅ -> d	regular	NA	kɹˈʌmbəl	kɹˈʌmbəld
l ˈɪ k	l ˈɪ k t	196	lick	licked	∅ -> t	regular	NA	lˈɪk	lˈɪkt
s k ˈɛ dʒ u ə l	s k ˈɛ dʒ u ə l d	196	schedule	scheduled	∅ -> d	regular	NA	skˈɛJuəl	skˈɛJuəld
t ˈoʊ ɹ tʃ ɚ	t ˈoʊ ɹ tʃ ɚ d	196	torture	tortured	∅ -> d	regular	NA	tˈoɹCɚ	tˈoɹCɚd
b l ˈʌ ʃ	b l ˈʌ ʃ t	194	blush	blushed	∅ -> t	regular	NA	blˈʌʃ	blˈʌʃt
s ˈa b	s ˈa b d	194	sob	sobbed	∅ -> d	regular	NA	sˈab	sˈabd
t ˈu n	t ˈu n d	194	tune	tuned	∅ -> d	regular	NA	tˈun	tˈund
ɪ k s p ˈɛ l	ɪ k s p ˈɛ l d	193	expel	expelled	∅ -> d	regular	NA	ɪkspˈɛl	ɪkspˈɛld
f l ˈæ p	f l ˈæ p t	193	flap	flapped	∅ -> t	regular	NA	flˈæp	flˈæpt
l ˈɛ k tʃ ɚ	l ˈɛ k tʃ ɚ d	193	lecture	lectured	∅ -> d	regular	NA	lˈɛkCɚ	lˈɛkCɚd
b ˈʌ m p	b ˈʌ m p t	192	bump	bumped	∅ -> t	regular	NA	bˈʌmp	bˈʌmpt
s ˈaɪ t	s ˈaɪ t ɨ d	192	cite	cited	∅ -> ɨ d	regular	NA	sˈYt	sˈYtɨd
p ˈeɪ s	p ˈeɪ s t	192	pace	paced	∅ -> t	regular	NA	pˈes	pˈest
s t ˈi m	s t ˈi m d	192	steam	steamed	∅ -> d	regular	NA	stˈim	stˈimd
t ˈʌ g	t ˈʌ g d	192	tug	tugged	∅ -> d	regular	NA	tˈʌg	tˈʌgd
b ˈu m	b ˈu m d	191	boom	boomed	∅ -> d	regular	NA	bˈum	bˈumd
f l ˈɪ k	f l ˈɪ k t	190	flick	flicked	∅ -> t	regular	NA	flˈɪk	flˈɪkt
ɪ m p ɹ ˈɪ z ə n	ɪ m p ɹ ˈɪ z ə n d	190	imprison	imprisoned	∅ -> d	regular	NA	ɪmpɹˈɪzən	ɪmpɹˈɪzənd
k w ˈoʊ ɹ ə l	k w ˈoʊ ɹ ə l d	190	quarrel	quarrelled	∅ -> d	regular	NA	kwˈoɹəl	kwˈoɹəld
v ˈæ l j u	v ˈæ l j u d	190	value	valued	∅ -> d	regular	NA	vˈælju	vˈæljud
k oʊ ɪ n s ˈaɪ d	k oʊ ɪ n s ˈaɪ d ɨ d	189	coincide	coincided	∅ -> ɨ d	regular	NA	koɪnsˈYd	koɪnsˈYdɨd
k ɹ ˈæ m	k ɹ ˈæ m d	189	cram	crammed	∅ -> d	regular	NA	kɹˈæm	kɹˈæmd
k ɹ ˈɪ p ə l	k ɹ ˈɪ p ə l d	189	cripple	crippled	∅ -> d	regular	NA	kɹˈɪpəl	kɹˈɪpəld
d ˈu m	d ˈu m d	189	doom	doomed	∅ -> d	regular	NA	dˈum	dˈumd
f ˈi tʃ ɚ	f ˈi tʃ ɚ d	189	feature	featured	∅ -> d	regular	NA	fˈiCɚ	fˈiCɚd
h ˈɪ n t	h ˈɪ n t ɨ d	189	hint	hinted	∅ -> ɨ d	regular	NA	hˈɪnt	hˈɪntɨd
s p ˈɛ k j ʊ l eɪ t	s p ˈɛ k j ʊ l eɪ t ɨ d	189	speculate	speculated	∅ -> ɨ d	regular	NA	spˈɛkjʊlet	spˈɛkjʊletɨd
ɹ ˈɪ ŋ k ə l	ɹ ˈɪ ŋ k ə l d	189	wrinkle	wrinkled	∅ -> d	regular	NA	ɹˈɪŋkəl	ɹˈɪŋkəld
d ɪ s t ɹ ˈɛ s	d ɪ s t ɹ ˈɛ s t	188	distress	distressed	∅ -> t	regular	NA	dɪstɹˈɛs	dɪstɹˈɛst
g l ˈɪ t ɚ	g l ˈɪ t ɚ d	188	glitter	glittered	∅ -> d	regular	NA	glˈɪtɚ	glˈɪtɚd
s k ɹ ˈʌ b	s k ɹ ˈʌ b d	188	scrub	scrubbed	∅ -> d	regular	NA	skɹˈʌb	skɹˈʌbd
m ˈoʊ t ɪ v eɪ t	m ˈoʊ t ɪ v eɪ t ɨ d	187	motivate	motivated	∅ -> ɨ d	regular	NA	mˈotɪvet	mˈotɪvetɨd
ɹ ˈeɪ p	ɹ ˈeɪ p t	187	rape	raped	∅ -> t	regular	NA	ɹˈep	ɹˈept
f ˈæ s ə n	f ˈæ s ə n d	186	fasten	fastened	∅ -> d	regular	NA	fˈæsən	fˈæsənd
p ˈɝ tʃ	p ˈɝ tʃ t	186	perch	perched	∅ -> t	regular	NA	pˈɝC	pˈɝCt
p ˈɪ tʃ	p ˈɪ tʃ t	186	pitch	pitched	∅ -> t	regular	NA	pˈɪC	pˈɪCt
p ˈʌ n tʃ	p ˈʌ n tʃ t	186	punch	punched	∅ -> t	regular	NA	pˈʌnC	pˈʌnCt
ɪ n s ˈʌ l t	ɪ n s ˈʌ l t ɨ d	185	insult	insulted	∅ -> ɨ d	regular	NA	ɪnsˈʌlt	ɪnsˈʌltɨd
l ˈi k	l ˈi k t	185	leak	leaked	∅ -> t	regular	NA	lˈik	lˈikt
s ˈɛ n t ə n s	s ˈɛ n t ə n s t	185	sentence	sentenced	∅ -> t	regular	NA	sˈɛntəns	sˈɛntənst
d ɪ t ˈɝ	d ɪ t ˈɝ d	184	deter	deterred	∅ -> d	regular	NA	dɪtˈɝ	dɪtˈɝd
ə b s ˈɛ s	ə b s ˈɛ s t	184	obsess	obsessed	∅ -> t	regular	NA	əbsˈɛs	əbsˈɛst
tʃ ˈæ t ɚ	tʃ ˈæ t ɚ d	183	chatter	chattered	∅ -> d	regular	NA	Cˈætɚ	Cˈætɚd
d ɹ ˈɪ p	d ɹ ˈɪ p t	183	drip	dripped	∅ -> t	regular	NA	dɹˈɪp	dɹˈɪpt
w ˈɝ l	w ˈɝ l d	183	whirl	whirled	∅ -> d	regular	NA	wˈɝl	wˈɝld
ɹ ˈɛ k	ɹ ˈɛ k t	183	wreck	wrecked	∅ -> t	regular	NA	ɹˈɛk	ɹˈɛkt
b ˈa ɹ k	b ˈa ɹ k t	181	bark	barked	∅ -> t	regular	NA	bˈaɹk	bˈaɹkt
b ɹ ˈu d	b ɹ ˈu d ɨ d	181	brood	brooded	∅ -> ɨ d	regular	NA	bɹˈud	bɹˈudɨd
k ə n t ɹ ˈæ s t	k ə n t ɹ ˈæ s t ɨ d	181	contrast	contrasted	∅ -> ɨ d	regular	NA	kəntɹˈæst	kəntɹˈæstɨd
d ˈɛ d ɪ k eɪ t	d ˈɛ d ɪ k eɪ t ɨ d	181	dedicate	dedicated	∅ -> ɨ d	regular	NA	dˈɛdɪket	dˈɛdɪketɨd
h ˈa ɹ m	h ˈa ɹ m d	181	harm	harmed	∅ -> d	regular	NA	hˈaɹm	hˈaɹmd
ˈɪ n dʒ ɚ	ˈɪ n dʒ ɚ d	180	injure	injured	∅ -> d	regular	NA	ˈɪnJɚ	ˈɪnJɚd
m ˈɪ ŋ g ə l	m ˈɪ ŋ g ə l d	180	mingle	mingled	∅ -> d	regular	NA	mˈɪŋgəl	mˈɪŋgəld
s ˈoʊ ɹ	s ˈoʊ ɹ d	180	soar	soared	∅ -> d	regular	NA	sˈoɹ	sˈoɹd
s p ˈɛ ʃ ə l aɪ z	s p ˈɛ ʃ ə l aɪ z d	180	specialize	specialized	∅ -> d	regular	NA	spˈɛʃəlYz	spˈɛʃəlYzd
s p l ˈæ ʃ	s p l ˈæ ʃ t	180	splash	splashed	∅ -> t	regular	NA	splˈæʃ	splˈæʃt
s p ɹ ˈeɪ	s p ɹ ˈeɪ d	180	spray	sprayed	∅ -> d	regular	NA	spɹˈe	spɹˈed
k ə n v ˈɪ k t	k ə n v ˈɪ k t ɨ d	179	convict	convicted	∅ -> ɨ d	regular	NA	kənvˈɪkt	kənvˈɪktɨd
h ˈa ɹ d ə n	h ˈa ɹ d ə n d	179	harden	hardened	∅ -> d	regular	NA	hˈaɹdən	hˈaɹdənd
g ɹ ˈoʊ p	g ɹ ˈoʊ p t	178	grope	groped	∅ -> t	regular	NA	gɹˈop	gɹˈopt
ɹ ɪ h ˈɝ s	ɹ ɪ h ˈɝ s t	178	rehearse	rehearsed	∅ -> t	regular	NA	ɹɪhˈɝs	ɹɪhˈɝst
t w ˈɪ tʃ	t w ˈɪ tʃ t	178	twitch	twitched	∅ -> t	regular	NA	twˈɪC	twˈɪCt
d ɪ s p ˈɝ s	d ɪ s p ˈɝ s t	177	disperse	dispersed	∅ -> t	regular	NA	dɪspˈɝs	dɪspˈɝst
h ˈaʊ l	h ˈaʊ l d	177	howl	howled	∅ -> d	regular	NA	hˈWl	hˈWld
ɪ l ˈu m ɪ n eɪ t	ɪ l ˈu m ɪ n eɪ t ɨ d	177	illuminate	illuminated	∅ -> ɨ d	regular	NA	ɪlˈumɪnet	ɪlˈumɪnetɨd
k l ˈɛ n tʃ	k l ˈɛ n tʃ t	176	clench	clenched	∅ -> t	regular	NA	klˈɛnC	klˈɛnCt
ɪ n d ˈoʊ ɹ s	ɪ n d ˈoʊ ɹ s t	176	endorse	endorsed	∅ -> t	regular	NA	ɪndˈoɹs	ɪndˈoɹst
p ˈæ n t	p ˈæ n t ɨ d	176	pant	panted	∅ -> ɨ d	regular	NA	pˈænt	pˈæntɨd
s ˈæ k	s ˈæ k t	176	sack	sacked	∅ -> t	regular	NA	sˈæk	sˈækt
s w ˈɝ l	s w ˈɝ l d	176	swirl	swirled	∅ -> d	regular	NA	swˈɝl	swˈɝld
ə p ˈɔ l	ə p ˈɔ l d	175	appal	appalled	∅ -> d	regular	NA	əpˈɔl	əpˈɔld
d ˈæ ŋ g ə l	d ˈæ ŋ g ə l d	175	dangle	dangled	∅ -> d	regular	NA	dˈæŋgəl	dˈæŋgəld
ə ɹ ˈɪ dʒ ə n eɪ t	ə ɹ ˈɪ dʒ ə n eɪ t ɨ d	175	originate	originated	∅ -> ɨ d	regular	NA	əɹˈɪJənet	əɹˈɪJənetɨd
m ˈɪ l k	m ˈɪ l k t	174	milk	milked	∅ -> t	regular	NA	mˈɪlk	mˈɪlkt
p ˈi l	p ˈi l d	174	peel	peeled	∅ -> d	regular	NA	pˈil	pˈild
p ˈa n d ɚ	p ˈa n d ɚ d	174	ponder	pondered	∅ -> d	regular	NA	pˈandɚ	pˈandɚd
f ˈoʊ ɹ dʒ	f ˈoʊ ɹ dʒ d	173	forge	forged	∅ -> d	regular	NA	fˈoɹJ	fˈoɹJd
m ˈa k	m ˈa k t	173	mock	mocked	∅ -> t	regular	NA	mˈak	mˈakt
s p ˈɛ s ɪ f aɪ	s p ˈɛ s ɪ f aɪ d	173	specify	specified	∅ -> d	regular	NA	spˈɛsɪfY	spˈɛsɪfYd
l ˈu m	l ˈu m d	172	loom	loomed	∅ -> d	regular	NA	lˈum	lˈumd
p ɹ ˈa s ə k j u t	p ɹ ˈa s ə k j u t ɨ d	172	prosecute	prosecuted	∅ -> ɨ d	regular	NA	pɹˈasəkjut	pɹˈasəkjutɨd
t ˈɪ k	t ˈɪ k t	172	tick	ticked	∅ -> t	regular	NA	tˈɪk	tˈɪkt
tʃ ˈɪ l	tʃ ˈɪ l d	171	chill	chilled	∅ -> d	regular	NA	Cˈɪl	Cˈɪld
ɪ n d ˈʌ s t ɹ i ə l aɪ z	ɪ n d ˈʌ s t ɹ i ə l aɪ z d	171	industrialize	industrialized	∅ -> d	regular	NA	ɪndˈʌstɹiəlYz	ɪndˈʌstɹiəlYzd
ɪ n t ˈɛ n s ɪ f aɪ	ɪ n t ˈɛ n s ɪ f aɪ d	171	intensify	intensified	∅ -> d	regular	NA	ɪntˈɛnsɪfY	ɪntˈɛnsɪfYd
oʊ m ˈɪ t	oʊ m ˈɪ t ɨ d	171	omit	omitted	∅ -> ɨ d	regular	NA	omˈɪt	omˈɪtɨd
s ˈɔ f ə n	s ˈɔ f ə n d	171	soften	softened	∅ -> d	regular	NA	sˈɔfən	sˈɔfənd
k ə n f ˈɝ	k ə n f ˈɝ d	170	confer	conferred	∅ -> d	regular	NA	kənfˈɝ	kənfˈɝd
d ˈɪ s ɪ p l ɪ n	d ˈɪ s ɪ p l ɪ n d	170	discipline	disciplined	∅ -> d	regular	NA	dˈɪsɪplɪn	dˈɪsɪplɪnd
d ɪ s t ɹ ˈæ k t	d ɪ s t ɹ ˈæ k t ɨ d	170	distract	distracted	∅ -> ɨ d	regular	NA	dɪstɹˈækt	dɪstɹˈæktɨd
ɪ n h ˈɪ b ɪ t	ɪ n h ˈɪ b ɪ t ɨ d	170	inhibit	inhibited	∅ -> ɨ d	regular	NA	ɪnhˈɪbɪt	ɪnhˈɪbɪtɨd
m ˈɪ n ɪ m aɪ z	m ˈɪ n ɪ m aɪ z d	170	minimize	minimized	∅ -> d	regular	NA	mˈɪnɪmYz	mˈɪnɪmYzd
ɹ ˈi z ə n	ɹ ˈi z ə n d	170	reason	reasoned	∅ -> d	regular	NA	ɹˈizən	ɹˈizənd
s p ˈa n s ɚ	s p ˈa n s ɚ d	170	sponsor	sponsored	∅ -> d	regular	NA	spˈansɚ	spˈansɚd
b ˈoʊ ɹ d	b ˈoʊ ɹ d ɨ d	169	board	boarded	∅ -> ɨ d	regular	NA	bˈoɹd	bˈoɹdɨd
f l ˈæ t ə n	f l ˈæ t ə n d	169	flatten	flattened	∅ -> d	regular	NA	flˈætən	flˈætənd
n ˈɪ t	n ˈɪ t	169	knit	knit	no_change	irregular	NA	nˈɪt	nˈɪt
p ˈɪ n tʃ	p ˈɪ n tʃ t	169	pinch	pinched	∅ -> t	regular	NA	pˈɪnC	pˈɪnCt
s ˈʌ p l ə m ɛ n t	s ˈʌ p l ə m ɛ n t ɨ d	169	supplement	supplemented	∅ -> ɨ d	regular	NA	sˈʌpləmɛnt	sˈʌpləmɛntɨd
n ˈʌ m b ɚ	n ˈʌ m b ɚ d	168	number	numbered	∅ -> d	regular	NA	nˈʌmbɚ	nˈʌmbɚd
ɹ ɪ t ɹ ˈi v	ɹ ɪ t ɹ ˈi v d	168	retrieve	retrieved	∅ -> d	regular	NA	ɹɪtɹˈiv	ɹɪtɹˈivd
s k ˈɪ p	s k ˈɪ p t	168	skip	skipped	∅ -> t	regular	NA	skˈɪp	skˈɪpt
w ˈeɪ l	w ˈeɪ l d	168	wail	wailed	∅ -> d	regular	NA	wˈel	wˈeld
ˈeɪ d	ˈeɪ d ɨ d	167	aid	aided	∅ -> ɨ d	regular	NA	ˈed	ˈedɨd
ˈɛ dʒ	ˈɛ dʒ d	167	edge	edged	∅ -> d	regular	NA	ˈɛJ	ˈɛJd
d ɪ s p ˈɛ n s	d ɪ s p ˈɛ n s t	166	dispense	dispensed	∅ -> t	regular	NA	dɪspˈɛns	dɪspˈɛnst
t ˈɛ s t ə f aɪ	t ˈɛ s t ə f aɪ d	166	testify	testified	∅ -> d	regular	NA	tˈɛstəfY	tˈɛstəfYd
w ˈi l	w ˈi l d	166	wheel	wheeled	∅ -> d	regular	NA	wˈil	wˈild
k ɹ ˈʌ m p ə l	k ɹ ˈʌ m p ə l d	165	crumple	crumpled	∅ -> d	regular	NA	kɹˈʌmpəl	kɹˈʌmpəld
ɹ ˈɛ k ə n s aɪ l	ɹ ˈɛ k ə n s aɪ l d	165	reconcile	reconciled	∅ -> d	regular	NA	ɹˈɛkənsYl	ɹˈɛkənsYld
ɹ ˈoʊ s t	ɹ ˈoʊ s t ɨ d	165	roast	roasted	∅ -> ɨ d	regular	NA	ɹˈost	ɹˈostɨd
s k ˈæ n	s k ˈæ n d	165	scan	scanned	∅ -> d	regular	NA	skˈæn	skˈænd
s p ɹ ˈɔ l	s p ɹ ˈɔ l d	165	sprawl	sprawled	∅ -> d	regular	NA	spɹˈɔl	spɹˈɔld
b ˈæ t ə l	b ˈæ t ə l d	164	battle	battled	∅ -> d	regular	NA	bˈætəl	bˈætəld
d w ˈɛ l	d w ˈɛ l t	164	dwell	dwelt	∅ -> t	irregular	NA	dwˈɛl	dwˈɛlt
g ɹ ˈʌ n t	g ɹ ˈʌ n t ɨ d	164	grunt	grunted	∅ -> ɨ d	regular	NA	gɹˈʌnt	gɹˈʌntɨd
oʊ v ɚ w ˈɛ l m	oʊ v ɚ w ˈɛ l m d	164	overwhelm	overwhelmed	∅ -> d	regular	NA	ovɚwˈɛlm	ovɚwˈɛlmd
s ˈɪ g n ɪ f aɪ	s ˈɪ g n ɪ f aɪ d	164	signify	signified	∅ -> d	regular	NA	sˈɪgnɪfY	sˈɪgnɪfYd
t ɹ ˈɪ g ɚ	t ɹ ˈɪ g ɚ d	164	trigger	triggered	∅ -> d	regular	NA	tɹˈɪgɚ	tɹˈɪgɚd
b ˈeɪ ð	b ˈeɪ ð d	163	bathe	bathed	∅ -> d	regular	NA	bˈeð	bˈeðd
k l ˈɪ k	k l ˈɪ k t	163	click	clicked	∅ -> t	regular	NA	klˈɪk	klˈɪkt
k ə n g ɹ ˈæ tʃ ʊ l eɪ t	k ə n g ɹ ˈæ tʃ ʊ l eɪ t ɨ d	163	congratulate	congratulated	∅ -> ɨ d	regular	NA	kəngɹˈæCʊlet	kəngɹˈæCʊletɨd
d w ˈɪ n d ə l	d w ˈɪ n d ə l d	163	dwindle	dwindled	∅ -> d	regular	NA	dwˈɪndəl	dwˈɪndəld
ɪ v ˈoʊ k	ɪ v ˈoʊ k t	163	evoke	evoked	∅ -> t	regular	NA	ɪvˈok	ɪvˈokt
l ˈu s ə n	l ˈu s ə n d	163	loosen	loosened	∅ -> d	regular	NA	lˈusən	lˈusənd
n ˈæ g	n ˈæ g d	163	nag	nagged	∅ -> d	regular	NA	nˈæg	nˈægd
θ ɹ ˈɪ l	θ ɹ ˈɪ l d	163	thrill	thrilled	∅ -> d	regular	NA	θɹˈɪl	θɹˈɪld
ə l ˈɝ t	ə l ˈɝ t ɨ d	162	alert	alerted	∅ -> ɨ d	regular	NA	əlˈɝt	əlˈɝtɨd
d ˈeɪ z	d ˈeɪ z d	161	daze	dazed	∅ -> d	regular	NA	dˈez	dˈezd
dʒ ˈɛ s tʃ ɚ	dʒ ˈɛ s tʃ ɚ d	161	gesture	gestured	∅ -> d	regular	NA	JˈɛsCɚ	JˈɛsCɚd
ɹ ˈɛ g j ʊ l eɪ t	ɹ ˈɛ g j ʊ l eɪ t ɨ d	161	regulate	regulated	∅ -> ɨ d	regular	NA	ɹˈɛgjʊlet	ɹˈɛgjʊletɨd
b ˈi m	b ˈi m d	160	beam	beamed	∅ -> d	regular	NA	bˈim	bˈimd
k l ˈæ s ɪ f aɪ	k l ˈæ s ɪ f aɪ d	160	classify	classified	∅ -> d	regular	NA	klˈæsɪfY	klˈæsɪfYd
ˈɛ d ɪ t	ˈɛ d ɪ t ɨ d	160	edit	edited	∅ -> ɨ d	regular	NA	ˈɛdɪt	ˈɛdɪtɨd
ɪ m b ˈa d i	ɪ m b ˈa d i d	160	embody	embodied	∅ -> d	regular	NA	ɪmbˈadi	ɪmbˈadid
ɪ k s p ˈeɪ ɹ ɪ m ə n t	ɪ k s p ˈeɪ ɹ ɪ m ə n t ɨ d	160	experiment	experimented	∅ -> ɨ d	regular	NA	ɪkspˈeɹɪmənt	ɪkspˈeɹɪməntɨd
p ˈaʊ n d	p ˈaʊ n d ɨ d	160	pound	pounded	∅ -> ɨ d	regular	NA	pˈWnd	pˈWndɨd
k ˈoʊ m	k ˈoʊ m d	159	comb	combed	∅ -> d	regular	NA	kˈom	kˈomd
p ˈʌ f	p ˈʌ f t	159	puff	puffed	∅ -> t	regular	NA	pˈʌf	pˈʌft
k l ˈoʊ ð	k l ˈoʊ ð d	158	clothe	clothed	∅ -> d	regular	NA	klˈoð	klˈoðd
i ɹ ˈoʊ d	i ɹ ˈoʊ d ɨ d	158	erode	eroded	∅ -> ɨ d	regular	NA	iɹˈod	iɹˈodɨd
f ˈɛ l	f ˈɛ l d	158	fell	felled	∅ -> d	regular	NA	fˈɛl	fˈɛld
w ˈɔ t ɚ	w ˈɔ t ɚ d	158	water	watered	∅ -> d	regular	NA	wˈɔtɚ	wˈɔtɚd
ə s ˈɔ l t	ə s ˈɔ l t ɨ d	157	assault	assaulted	∅ -> ɨ d	regular	NA	əsˈɔlt	əsˈɔltɨd
b ˈʊ l i	b ˈʊ l i d	157	bully	bullied	∅ -> d	regular	NA	bˈʊli	bˈʊlid
tʃ ˈeɪ ɹ ɪ ʃ	tʃ ˈeɪ ɹ ɪ ʃ t	157	cherish	cherished	∅ -> t	regular	NA	Cˈeɹɪʃ	Cˈeɹɪʃt
f ˈɪ l t ɚ	f ˈɪ l t ɚ d	157	filter	filtered	∅ -> d	regular	NA	fˈɪltɚ	fˈɪltɚd
g l ˈɪ s ə n	g l ˈɪ s ə n d	157	glisten	glistened	∅ -> d	regular	NA	glˈɪsən	glˈɪsənd
h ˈɪ s	h ˈɪ s t	157	hiss	hissed	∅ -> t	regular	NA	hˈɪs	hˈɪst
h ˈʌ d ə l	h ˈʌ d ə l d	157	huddle	huddled	∅ -> d	regular	NA	hˈʌdəl	hˈʌdəld
s ˈɪ m ɚ	s ˈɪ m ɚ d	157	simmer	simmered	∅ -> d	regular	NA	sˈɪmɚ	sˈɪmɚd
j ˈu n ɪ f aɪ	j ˈu n ɪ f aɪ d	157	unify	unified	∅ -> d	regular	NA	jˈunɪfY	jˈunɪfYd
b l ˈaɪ n d	b l ˈaɪ n d ɨ d	156	blind	blinded	∅ -> ɨ d	regular	NA	blˈYnd	blˈYndɨd
f ˈʌ m b ə l	f ˈʌ m b ə l d	156	fumble	fumbled	∅ -> d	regular	NA	fˈʌmbəl	fˈʌmbəld
h ˈeɪ s ə n	h ˈeɪ s ə n d	156	hasten	hastened	∅ -> d	regular	NA	hˈesən	hˈesənd
s t ˈaɪ f ə l	s t ˈaɪ f ə l d	156	stifle	stifled	∅ -> d	regular	NA	stˈYfəl	stˈYfəld
t ˈaɪ d i	t ˈaɪ d i d	156	tidy	tidied	∅ -> d	regular	NA	tˈYdi	tˈYdid
d ɪ k ˈeɪ	d ɪ k ˈeɪ d	155	decay	decayed	∅ -> d	regular	NA	dɪkˈe	dɪkˈed
f ˈu l	f ˈu l d	155	fool	fooled	∅ -> d	regular	NA	fˈul	fˈuld
m ˈoʊ b ə l aɪ z	m ˈoʊ b ə l aɪ z d	155	mobilize	mobilized	∅ -> d	regular	NA	mˈobəlYz	mˈobəlYzd
p ˈæ d	p ˈæ d ɨ d	155	pad	padded	∅ -> ɨ d	regular	NA	pˈæd	pˈædɨd
s t ˈeɪ ɹ ə l aɪ z	s t ˈeɪ ɹ ə l aɪ z d	155	sterilize	sterilized	∅ -> d	regular	NA	stˈeɹəlYz	stˈeɹəlYzd
t ˈæ ŋ g ə l	t ˈæ ŋ g ə l d	155	tangle	tangled	∅ -> d	regular	NA	tˈæŋgəl	tˈæŋgəld
d ɹ ˈɛ d	d ɹ ˈɛ d ɨ d	154	dread	dreaded	∅ -> ɨ d	regular	NA	dɹˈɛd	dɹˈɛdɨd
f ˈɪ l m	f ˈɪ l m d	154	film	filmed	∅ -> d	regular	NA	fˈɪlm	fˈɪlmd
h ˈa p	h ˈa p t	154	hop	hopped	∅ -> t	regular	NA	hˈap	hˈapt
l ˈɝ k	l ˈɝ k t	154	lurk	lurked	∅ -> t	regular	NA	lˈɝk	lˈɝkt
ɹ ɪ v ˈaɪ z	ɹ ɪ v ˈaɪ z d	154	revise	revised	∅ -> d	regular	NA	ɹɪvˈYz	ɹɪvˈYzd
s ˈi z ə n	s ˈi z ə n d	154	season	seasoned	∅ -> d	regular	NA	sˈizən	sˈizənd
s t ˈa k	s t ˈa k t	154	stock	stocked	∅ -> t	regular	NA	stˈak	stˈakt
