# Google doc
lemma_ipa	past_ipa	celex_freq	lemma_orth	past_orth	past_type	past_type2	notes	lemma_orig	past_orig
k ə n v ˈɪ k t	k ə n v ˈɪ k t ə d	179	convict	convicted	∅ -> ɪ d	regular	NA	kŤnvČIkt	kŤnvČIktŤd
ɪ k w ˈɪ p	ɪ k w ˈɪ p t	179	equip	equipped	∅ -> t	regular	NA	IkwČIp	IkwČIpt
h ˈa ɹ d ə n	h ˈa ɹ d ə n d	179	harden	hardened	∅ -> d	regular	NA	hČardŤn	hČardŤnd
g ɹ ˈoʊ p	g ɹ ˈoʊ p t	178	grope	groped	∅ -> t	regular	NA	grČop	grČopt
ɹ i s ˈaɪ k ə l	ɹ i s ˈaɪ k ə l d	178	recycle	recycled	∅ -> d	regular	NA	risČYkŤl	risČYkŤld
ɹ ɪ h ˈɚ s	ɹ ɪ h ˈɚ s t	178	rehearse	rehearsed	∅ -> t	regular	NA	rIhČŐs	rIhČŐst
t w ˈɪ tʃ	t w ˈɪ tʃ t	178	twitch	twitched	∅ -> t	regular	NA	twČIC	twČICt
d ɪ s p ˈɚ s	d ɪ s p ˈɚ s t	177	disperse	dispersed	∅ -> t	regular	NA	dIspČŐs	dIspČŐst
h ˈæ n d i k æ p	h ˈæ n d i k æ p t	177	handicap	handicapped	∅ -> t	regular	NA	hČQndikQp	hČQndikQpt
h ˈaʊ l	h ˈaʊ l d	177	howl	howled	∅ -> d	regular	NA	hČWl	hČWld
ɪ l ˈu m ɪ n eɪ t	ɪ l ˈu m ɪ n eɪ t ə d	177	illuminate	illuminated	∅ -> ɪ d	regular	NA	IlČumInet	IlČumInetŤd
k l ˈɛ n tʃ	k l ˈɛ n tʃ t	176	clench	clenched	∅ -> t	regular	NA	klČEnC	klČEnCt
ɪ n d ˈoʊ ɹ s	ɪ n d ˈoʊ ɹ s t	176	endorse	endorsed	∅ -> t	regular	NA	IndČors	IndČorst
p ˈæ n t	p ˈæ n t ə d	176	pant	panted	∅ -> ɪ d	regular	NA	pČQnt	pČQntŤd
s ˈæ k	s ˈæ k t	176	sack	sacked	∅ -> t	regular	NA	sČQk	sČQkt
s w ˈɚ l	s w ˈɚ l d	176	swirl	swirled	∅ -> d	regular	NA	swČŐl	swČŐld
ə p ˈɔ l	ə p ˈɔ l d	175	appal	appalled	∅ -> d	regular	NA	ŤpČl	ŤpČld
d ˈæ ŋ g ə l	d ˈæ ŋ g ə l d	175	dangle	dangled	∅ -> d	regular	NA	dČQNgŤl	dČQNgŤld
ə ɹ ˈɪ dʒ ə n eɪ t	ə ɹ ˈɪ dʒ ə n eɪ t ə d	175	originate	originated	∅ -> ɪ d	regular	NA	ŤrČIJŤnet	ŤrČIJŤnetŤd
ɹ ɪ f ˈoʊ ɹ m	ɹ ɪ f ˈoʊ ɹ m d	175	reform	reformed	∅ -> d	regular	NA	rIfČorm	rIfČormd
ɪ n t ˈeɪ l	ɪ n t ˈeɪ l d	174	entail	entailed	∅ -> d	regular	NA	IntČel	IntČeld
m ˈɪ l k	m ˈɪ l k t	174	milk	milked	∅ -> t	regular	NA	mČIlk	mČIlkt
p ˈi l	p ˈi l d	174	peel	peeled	∅ -> d	regular	NA	pČil	pČild
p ˈa n d ɚ	p ˈa n d ɚ d	174	ponder	pondered	∅ -> d	regular	NA	pČandŐ	pČandŐd
k ə m p ɹ ˈɛ s	k ə m p ɹ ˈɛ s t	173	compress	compressed	∅ -> t	regular	NA	kŤmprČEs	kŤmprČEst
f ˈoʊ ɹ dʒ	f ˈoʊ ɹ dʒ d	173	forge	forged	∅ -> d	regular	NA	fČorJ	fČorJd
h ˈa ɹ v ɪ s t	h ˈa ɹ v ɪ s t ə d	173	harvest	harvested	∅ -> ɪ d	regular	NA	hČarvIst	hČarvIstŤd
m ˈa k	m ˈa k t	173	mock	mocked	∅ -> t	regular	NA	mČak	mČakt
s p ˈɛ s ɪ f aɪ	s p ˈɛ s ɪ f aɪ d	173	specify	specified	∅ -> d	regular	NA	spČEsIfY	spČEsIfYd
l ˈu m	l ˈu m d	172	loom	loomed	∅ -> d	regular	NA	lČum	lČumd
p ɹ ˈa s ə k j u t	p ɹ ˈa s ə k j u t ə d	172	prosecute	prosecuted	∅ -> ɪ d	regular	NA	prČasŤkjut	prČasŤkjutŤd
t ˈɪ k	t ˈɪ k t	172	tick	ticked	∅ -> t	regular	NA	tČIk	tČIkt
ʌ n d ˈu	ʌ n d ˈɪ d	172	undo	undid	u -> ɪ d	irregular	NA	ĂndČu	ĂndČId
tʃ ˈɪ l	tʃ ˈɪ l d	171	chill	chilled	∅ -> d	regular	NA	CČIl	CČIld
ɪ n d ˈʌ s t ɹ i ə l aɪ z	ɪ n d ˈʌ s t ɹ i ə l aɪ z d	171	industrialize	industrialized	∅ -> d	regular	NA	IndČĂstriŤlYz	IndČĂstriŤlYzd
ɪ n t ˈɛ n s ɪ f aɪ	ɪ n t ˈɛ n s ɪ f aɪ d	171	intensify	intensified	∅ -> d	regular	NA	IntČEnsIfY	IntČEnsIfYd
oʊ m ˈɪ t	oʊ m ˈɪ t ə d	171	omit	omitted	∅ -> ɪ d	regular	NA	omČIt	omČItŤd
s ˈɔ f ə n	s ˈɔ f ə n d	171	soften	softened	∅ -> d	regular	NA	sČfŤn	sČfŤnd
k ə n f ˈɚ	k ə n f ˈɚ d	170	confer	conferred	∅ -> d	regular	NA	kŤnfČŐ	kŤnfČŐd
d ˈɪ s ɪ p l ɪ n	d ˈɪ s ɪ p l ɪ n d	170	discipline	disciplined	∅ -> d	regular	NA	dČIsIplIn	dČIsIplInd
d ɪ s t ɹ ˈæ k t	d ɪ s t ɹ ˈæ k t ə d	170	distract	distracted	∅ -> ɪ d	regular	NA	dIstrČQkt	dIstrČQktŤd
ɪ n h ˈɪ b ɪ t	ɪ n h ˈɪ b ɪ t ə d	170	inhibit	inhibited	∅ -> ɪ d	regular	NA	InhČIbIt	InhČIbItŤd
m ˈɪ n ɪ m aɪ z	m ˈɪ n ɪ m aɪ z d	170	minimize	minimized	∅ -> d	regular	NA	mČInImYz	mČInImYzd
ɹ ˈi z ə n	ɹ ˈi z ə n d	170	reason	reasoned	∅ -> d	regular	NA	rČizŤn	rČizŤnd
s p ˈa n s ɚ	s p ˈa n s ɚ d	170	sponsor	sponsored	∅ -> d	regular	NA	spČansŐ	spČansŐd
b ˈoʊ ɹ d	b ˈoʊ ɹ d ə d	169	board	boarded	∅ -> ɪ d	regular	NA	bČord	bČordŤd
f l ˈæ t ə n	f l ˈæ t ə n d	169	flatten	flattened	∅ -> d	regular	NA	flČQtŤn	flČQtŤnd
n ˈɪ t	n ˈɪ t	169	knit	knitted	no_change	irregular	NA	nČIt	nČIt
p ˈɪ n tʃ	p ˈɪ n tʃ t	169	pinch	pinched	∅ -> t	regular	NA	pČInC	pČInCt
s ˈʌ p l ə m ɛ n t	s ˈʌ p l ə m ɛ n t ə d	169	supplement	supplemented	∅ -> ɪ d	regular	NA	sČĂplŤmEnt	sČĂplŤmEntŤd
m ɪ s t ˈeɪ k	m ɪ s t ˈʊ k	168	mistake	mistook	e -> ʊ	irregular	NA	mIstČek	mIstČUk
n ˈʌ m b ɚ	n ˈʌ m b ɚ d	168	number	numbered	∅ -> d	regular	NA	nČĂmbŐ	nČĂmbŐd
ɹ ɪ t ɹ ˈi v	ɹ ɪ t ɹ ˈi v d	168	retrieve	retrieved	∅ -> d	regular	NA	rItrČiv	rItrČivd
s k ˈɪ p	s k ˈɪ p t	168	skip	skipped	∅ -> t	regular	NA	skČIp	skČIpt
w ˈeɪ l	w ˈeɪ l d	168	wail	wailed	∅ -> d	regular	NA	wČel	wČeld
ˈeɪ d	ˈeɪ d ə d	167	aid	aided	∅ -> ɪ d	regular	NA	Čed	ČedŤd
ˈɛ dʒ	ˈɛ dʒ d	167	edge	edged	∅ -> d	regular	NA	ČEJ	ČEJd
d ɪ s p ˈɛ n s	d ɪ s p ˈɛ n s t	166	dispense	dispensed	∅ -> t	regular	NA	dIspČEns	dIspČEnst
t ˈɛ s t ə f aɪ	t ˈɛ s t ə f aɪ d	166	testify	testified	∅ -> d	regular	NA	tČEstŤfY	tČEstŤfYd
w ˈi l	w ˈi l d	166	wheel	wheeled	∅ -> d	regular	NA	wČil	wČild
k ɹ ˈʌ m p ə l	k ɹ ˈʌ m p ə l d	165	crumple	crumpled	∅ -> d	regular	NA	krČĂmpŤl	krČĂmpŤld
ɹ ˈɛ k ə n s aɪ l	ɹ ˈɛ k ə n s aɪ l d	165	reconcile	reconciled	∅ -> d	regular	NA	rČEkŤnsYl	rČEkŤnsYld
ɹ ˈoʊ s t	ɹ ˈoʊ s t ə d	165	roast	roasted	∅ -> ɪ d	regular	NA	rČost	rČostŤd
s k ˈæ n	s k ˈæ n d	165	scan	scanned	∅ -> d	regular	NA	skČQn	skČQnd
s p ɹ ˈɔ l	s p ɹ ˈɔ l d	165	sprawl	sprawled	∅ -> d	regular	NA	sprČl	sprČld
b ˈæ t ə l	b ˈæ t ə l d	164	battle	battled	∅ -> d	regular	NA	bČQtŤl	bČQtŤld
d w ˈɛ l	d w ˈɛ l t	164	dwell	dwellt	∅ -> t	irregular	NA	dwČEl	dwČElt
d w ˈɛ l	d w ˈɛ l d	164	dwell	dwelled	∅ -> d	regular	***double	dwČEl	dwČEld
g ɹ ˈʌ n t	g ɹ ˈʌ n t ə d	164	grunt	grunted	∅ -> ɪ d	regular	NA	grČĂnt	grČĂntŤd
oʊ v ɚ w ˈɛ l m	oʊ v ɚ w ˈɛ l m d	164	overwhelm	overwhelmed	∅ -> d	regular	NA	ovŐwČElm	ovŐwČElmd
s ˈɪ g n ɪ f aɪ	s ˈɪ g n ɪ f aɪ d	164	signify	signified	∅ -> d	regular	NA	sČIgnIfY	sČIgnIfYd
t ɹ ˈɪ g ɚ	t ɹ ˈɪ g ɚ d	164	trigger	triggered	∅ -> d	regular	NA	trČIgŐ	trČIgŐd
ə p l ˈɔ d	ə p l ˈɔ d ə d	163	applaud	applauded	∅ -> ɪ d	regular	NA	ŤplČd	ŤplČdŤd
b ˈeɪ ð	b ˈeɪ ð d	163	bathe	bathed	∅ -> d	regular	NA	bČeD	bČeDd
k l ˈɪ k	k l ˈɪ k t	163	click	clicked	∅ -> t	regular	NA	klČIk	klČIkt
k ə n g ɹ ˈæ tʃ ʊ l eɪ t	k ə n g ɹ ˈæ tʃ ʊ l eɪ t ə d	163	congratulate	congratulated	∅ -> ɪ d	regular	NA	kŤngrČQCUlet	kŤngrČQCUletŤd
d w ˈɪ n d ə l	d w ˈɪ n d ə l d	163	dwindle	dwindled	∅ -> d	regular	NA	dwČIndŤl	dwČIndŤld
ɪ v ˈoʊ k	ɪ v ˈoʊ k t	163	evoke	evoked	∅ -> t	regular	NA	IvČok	IvČokt
l ˈu s ə n	l ˈu s ə n d	163	loosen	loosened	∅ -> d	regular	NA	lČusŤn	lČusŤnd
n ˈæ g	n ˈæ g d	163	nag	nagged	∅ -> d	regular	NA	nČQg	nČQgd
θ ɹ ˈɪ l	θ ɹ ˈɪ l d	163	thrill	thrilled	∅ -> d	regular	NA	TrČIl	TrČIld
ə l ˈɚ t	ə l ˈɚ t ə d	162	alert	alerted	∅ -> ɪ d	regular	NA	ŤlČŐt	ŤlČŐtŤd
d ˈeɪ z	d ˈeɪ z d	161	daze	dazed	∅ -> d	regular	NA	dČez	dČezd
dʒ ˈɛ s tʃ ɚ	dʒ ˈɛ s tʃ ɚ d	161	gesture	gestured	∅ -> d	regular	NA	JČEsCŐ	JČEsCŐd
ɹ ˈɛ g j ʊ l eɪ t	ɹ ˈɛ g j ʊ l eɪ t ə d	161	regulate	regulated	∅ -> ɪ d	regular	NA	rČEgjUlet	rČEgjUletŤd
ɹ ˈaʊ z	ɹ ˈaʊ z d	161	rouse	roused	∅ -> d	regular	NA	rČWz	rČWzd
b ˈi m	b ˈi m d	160	beam	beamed	∅ -> d	regular	NA	bČim	bČimd
k l ˈæ s ɪ f aɪ	k l ˈæ s ɪ f aɪ d	160	classify	classified	∅ -> d	regular	NA	klČQsIfY	klČQsIfYd
d ɪ s tʃ ˈa ɹ dʒ	d ɪ s tʃ ˈa ɹ dʒ d	160	discharge	discharged	∅ -> d	regular	NA	dIsCČarJ	dIsCČarJd
ˈɛ d ɪ t	ˈɛ d ɪ t ə d	160	edit	edited	∅ -> ɪ d	regular	NA	ČEdIt	ČEdItŤd
ɪ m b ˈa d i	ɪ m b ˈa d i d	160	embody	embodied	∅ -> d	regular	NA	ImbČadi	ImbČadid
ɪ k s p ˈeɪ ɹ ɪ m ə n t	ɪ k s p ˈeɪ ɹ ɪ m ə n t ə d	160	experiment	experimented	∅ -> ɪ d	regular	NA	IkspČerImŤnt	IkspČerImŤntŤd
p ˈaʊ n d	p ˈaʊ n d ə d	160	pound	pounded	∅ -> ɪ d	regular	NA	pČWnd	pČWndŤd
k ˈoʊ m	k ˈoʊ m d	159	comb	combed	∅ -> d	regular	NA	kČom	kČomd
ə b s k j ˈu ɹ	ə b s k j ˈu ɹ d	159	obscure	obscured	∅ -> d	regular	NA	ŤbskjČur	ŤbskjČurd
p ˈʌ f	p ˈʌ f t	159	puff	puffed	∅ -> t	regular	NA	pČĂf	pČĂft
k l ˈoʊ ð	k l ˈoʊ ð d	158	clothe	clothed	∅ -> d	regular	NA	klČoD	klČoDd
i ɹ ˈoʊ d	i ɹ ˈoʊ d ə d	158	erode	eroded	∅ -> ɪ d	regular	NA	irČod	irČodŤd
f ˈɛ l	f ˈɛ l d	158	fell	felled	∅ -> d	regular	NA	fČEl	fČEld
w ˈɔ t ɚ	w ˈɔ t ɚ d	158	water	watered	∅ -> d	regular	NA	wČtŐ	wČtŐd
ə s ˈɔ l t	ə s ˈɔ l t ə d	157	assault	assaulted	∅ -> ɪ d	regular	NA	ŤsČlt	ŤsČltŤd
b ˈʊ l i	b ˈʊ l i d	157	bully	bullied	∅ -> d	regular	NA	bČUli	bČUlid
tʃ ˈeɪ ɹ ɪ ʃ	tʃ ˈeɪ ɹ ɪ ʃ t	157	cherish	cherished	∅ -> t	regular	NA	CČerIS	CČerISt
d ɪ s ə p ɹ ˈu v	d ɪ s ə p ɹ ˈu v d	157	disapprove	disapproved	∅ -> d	regular	NA	dIsŤprČuv	dIsŤprČuvd
f ˈɪ l t ɚ	f ˈɪ l t ɚ d	157	filter	filtered	∅ -> d	regular	NA	fČIltŐ	fČIltŐd
g l ˈɪ s ə n	g l ˈɪ s ə n d	157	glisten	glistened	∅ -> d	regular	NA	glČIsŤn	glČIsŤnd
h ˈɪ s	h ˈɪ s t	157	hiss	hissed	∅ -> t	regular	NA	hČIs	hČIst
h ˈʌ d ə l	h ˈʌ d ə l d	157	huddle	huddled	∅ -> d	regular	NA	hČĂdŤl	hČĂdŤld
p oʊ ɹ t ɹ ˈeɪ	p oʊ ɹ t ɹ ˈeɪ d	157	portray	portrayed	∅ -> d	regular	NA	portrČe	portrČed
s ˈɪ m ɚ	s ˈɪ m ɚ d	157	simmer	simmered	∅ -> d	regular	NA	sČImŐ	sČImŐd
j ˈu n ɪ f aɪ	j ˈu n ɪ f aɪ d	157	unify	unified	∅ -> d	regular	NA	jČunIfY	jČunIfYd
b l ˈaɪ n d	b l ˈaɪ n d ə d	156	blind	blinded	∅ -> ɪ d	regular	NA	blČYnd	blČYndŤd
f ˈʌ m b ə l	f ˈʌ m b ə l d	156	fumble	fumbled	∅ -> d	regular	NA	fČĂmbŤl	fČĂmbŤld
h ˈeɪ s ə n	h ˈeɪ s ə n d	156	hasten	hastened	∅ -> d	regular	NA	hČesŤn	hČesŤnd
oʊ v ɚ t ˈeɪ k	oʊ v ɚ t ˈʊ k	156	overtake	overtook	e -> ʊ	irregular	NA	ovŐtČek	ovŐtČUk
ʃ ˈa ɹ p ə n	ʃ ˈa ɹ p ə n d	156	sharpen	sharpened	∅ -> d	regular	NA	SČarpŤn	SČarpŤnd
s t ˈaɪ f ə l	s t ˈaɪ f ə l d	156	stifle	stifled	∅ -> d	regular	NA	stČYfŤl	stČYfŤld
t ˈaɪ d i	t ˈaɪ d i d	156	tidy	tidied	∅ -> d	regular	NA	tČYdi	tČYdid
d ɪ k ˈeɪ	d ɪ k ˈeɪ d	155	decay	decayed	∅ -> d	regular	NA	dIkČe	dIkČed
f ˈu l	f ˈu l d	155	fool	fooled	∅ -> d	regular	NA	fČul	fČuld
m ˈoʊ b ə l aɪ z	m ˈoʊ b ə l aɪ z d	155	mobilize	mobilized	∅ -> d	regular	NA	mČobŤlYz	mČobŤlYzd
p ˈæ d	p ˈæ d ə d	155	pad	padded	∅ -> ɪ d	regular	NA	pČQd	pČQdŤd
s t ˈeɪ ɹ ə l aɪ z	s t ˈeɪ ɹ ə l aɪ z d	155	sterilize	sterilized	∅ -> d	regular	NA	stČerŤlYz	stČerŤlYzd
t ˈæ ŋ g ə l	t ˈæ ŋ g ə l d	155	tangle	tangled	∅ -> d	regular	NA	tČQNgŤl	tČQNgŤld
k ə n t ˈɛ n d	k ə n t ˈɛ n d ə d	154	contend	contended	∅ -> ɪ d	regular	NA	kŤntČEnd	kŤntČEndŤd
d ɹ ˈɛ d	d ɹ ˈɛ d ə d	154	dread	dreaded	∅ -> ɪ d	regular	NA	drČEd	drČEdŤd
f ˈɪ l m	f ˈɪ l m d	154	film	filmed	∅ -> d	regular	NA	fČIlm	fČIlmd
h ˈa p	h ˈa p t	154	hop	hopped	∅ -> t	regular	NA	hČap	hČapt
l ˈɚ k	l ˈɚ k t	154	lurk	lurked	∅ -> t	regular	NA	lČŐk	lČŐkt
ɹ ɪ v ˈaɪ z	ɹ ɪ v ˈaɪ z d	154	revise	revised	∅ -> d	regular	NA	rIvČYz	rIvČYzd
s ˈi z ə n	s ˈi z ə n d	154	season	seasoned	∅ -> d	regular	NA	sČizŤn	sČizŤnd
s t ˈa k	s t ˈa k t	154	stock	stocked	∅ -> t	regular	NA	stČak	stČakt
ɪ s k ˈoʊ ɹ t	ɪ s k ˈoʊ ɹ t ə d	153	escort	escorted	∅ -> ɪ d	regular	NA	IskČort	IskČortŤd
f l ˈeɪ ɹ	f l ˈeɪ ɹ d	153	flare	flared	∅ -> d	regular	NA	flČer	flČerd
m ˈæ s t ɚ	m ˈæ s t ɚ d	153	master	mastered	∅ -> d	regular	NA	mČQstŐ	mČQstŐd
p ə l ˈu t	p ə l ˈu t ə d	153	pollute	polluted	∅ -> ɪ d	regular	NA	pŤlČut	pŤlČutŤd
p ɹ ˈoʊ b	p ɹ ˈoʊ b d	153	probe	probed	∅ -> d	regular	NA	prČob	prČobd
ʃ ˈɛ l t ɚ	ʃ ˈɛ l t ɚ d	153	shelter	sheltered	∅ -> d	regular	NA	SČEltŐ	SČEltŐd
w ˈɪ ð ɚ	w ˈɪ ð ɚ d	153	wither	withered	∅ -> d	regular	NA	wČIDŐ	wČIDŐd
b ɹ ˈu z	b ɹ ˈu z d	152	bruise	bruised	∅ -> d	regular	NA	brČuz	brČuzd
d ˈʌ s t	d ˈʌ s t ə d	152	dust	dusted	∅ -> ɪ d	regular	NA	dČĂst	dČĂstŤd
h ˈʌ n tʃ	h ˈʌ n tʃ t	152	hunch	hunched	∅ -> t	regular	NA	hČĂnC	hČĂnCt
l ˈæ ʃ	l ˈæ ʃ t	152	lash	lashed	∅ -> t	regular	NA	lČQS	lČQSt
n ˈɚ s	n ˈɚ s t	152	nurse	nursed	∅ -> t	regular	NA	nČŐs	nČŐst
p ˈeɪ ɹ ə l aɪ z	p ˈeɪ ɹ ə l aɪ z d	152	paralyse	paralysed	∅ -> d	regular	NA	pČerŤlYz	pČerŤlYzd
ɹ ɪ s ˈi d	ɹ ɪ s ˈi d ə d	152	recede	receded	∅ -> ɪ d	regular	NA	rIsČid	rIsČidŤd
s ˈu p ɚ v aɪ z	s ˈu p ɚ v aɪ z d	152	supervise	supervised	∅ -> d	regular	NA	sČupŐvYz	sČupŐvYzd
t ɹ æ n s ˈɛ n d	t ɹ æ n s ˈɛ n d ə d	152	transcend	transcended	∅ -> ɪ d	regular	NA	trQnsČEnd	trQnsČEndŤd
t ɹ ˈɪ m	t ɹ ˈɪ m d	152	trim	trimmed	∅ -> d	regular	NA	trČIm	trČImd
ʌ n d ɚ ˈɛ s t ə m eɪ t	ʌ n d ɚ ˈɛ s t ə m eɪ t ə d	152	underestimate	underestimated	∅ -> ɪ d	regular	NA	ĂndŐČEstŤmet	ĂndŐČEstŤmetŤd
ˈeɪ dʒ	ˈeɪ dʒ d	151	age	aged	∅ -> d	regular	NA	ČeJ	ČeJd
ˈeɪ l i ə n eɪ t	ˈeɪ l i ə n eɪ t ə d	151	alienate	alienated	∅ -> ɪ d	regular	NA	ČeliŤnet	ČeliŤnetŤd
d ˈa ɹ t	d ˈa ɹ t ə d	151	dart	darted	∅ -> ɪ d	regular	NA	dČart	dČartŤd
d ɪ dʒ ˈɛ s t	d ɪ dʒ ˈɛ s t ə d	151	digest	digested	∅ -> ɪ d	regular	NA	dIJČEst	dIJČEstŤd
ɪ v ˈæ l j u eɪ t	ɪ v ˈæ l j u eɪ t ə d	151	evaluate	evaluated	∅ -> ɪ d	regular	NA	IvČQljuet	IvČQljuetŤd
g ɹ ˈʌ m b ə l	g ɹ ˈʌ m b ə l d	151	grumble	grumbled	∅ -> d	regular	NA	grČĂmbŤl	grČĂmbŤld
m ˈɛ n d	m ˈɛ n d ə d	151	mend	mended	∅ -> ɪ d	regular	NA	mČEnd	mČEndŤd
p l ˈʌ k	p l ˈʌ k t	151	pluck	plucked	∅ -> t	regular	NA	plČĂk	plČĂkt
s ˈæ g	s ˈæ g d	151	sag	sagged	∅ -> d	regular	NA	sČQg	sČQgd
s ɪ d ˈu s	s ɪ d ˈu s t	151	seduce	seduced	∅ -> t	regular	NA	sIdČus	sIdČust
s t ˈɪ ŋ	s t ˈʌ ŋ	151	sting	stung	ɪ -> ʌ	irregular	NA	stČIN	stČĂN
ˈa ɹ tʃ	ˈa ɹ tʃ t	150	arch	arched	∅ -> t	regular	NA	ČarC	ČarCt
k ə m ˈɪ ʃ ə n	k ə m ˈɪ ʃ ə n d	150	commission	commissioned	∅ -> d	regular	NA	kŤmČISŤn	kŤmČISŤnd
ɹ ɪ s ˈaɪ t	ɹ ɪ s ˈaɪ t ə d	150	recite	recited	∅ -> ɪ d	regular	NA	rIsČYt	rIsČYtŤd
s t ˈɔ k	s t ˈɔ k t	150	stalk	stalked	∅ -> t	regular	NA	stČk	stČkt
j u n ˈaɪ t	j u n ˈaɪ t ə d	150	unite	united	∅ -> ɪ d	regular	NA	junČYt	junČYtŤd
b ˈu s t	b ˈu s t ə d	149	boost	boosted	∅ -> ɪ d	regular	NA	bČust	bČustŤd
s ˈɛ n t ɹ ə l aɪ z	s ˈɛ n t ɹ ə l aɪ z d	149	centralize	centralized	∅ -> d	regular	NA	sČEntrŤlYz	sČEntrŤlYzd
m ə t ʃ ˈu ɹ	m ə t ʃ ˈu ɹ d	149	mature	matured	∅ -> d	regular	NA	mŤtSČur	mŤtSČurd
s k ɹ ˈi n	s k ɹ ˈi n d	149	screen	screened	∅ -> d	regular	NA	skrČin	skrČind
ʌ n d ɹ ˈɛ s	ʌ n d ɹ ˈɛ s t	149	undress	undressed	∅ -> t	regular	NA	ĂndrČEs	ĂndrČEst
w ˈeɪ d	w ˈeɪ d ə d	149	wade	waded	∅ -> ɪ d	regular	NA	wČed	wČedŤd
d ɪ v ˈaʊ ɚ	d ɪ v ˈaʊ ɚ d	148	devour	devoured	∅ -> d	regular	NA	dIvČWŐ	dIvČWŐd
d ɹ ˈu p	d ɹ ˈu p t	148	droop	drooped	∅ -> t	regular	NA	drČup	drČupt
s ˈɪ m b ə l aɪ z	s ˈɪ m b ə l aɪ z d	148	symbolize	symbolized	∅ -> d	regular	NA	sČImbŤlYz	sČImbŤlYzd
b l ˈɛ n d	b l ˈɛ n d ə d	147	blend	blended	∅ -> ɪ d	regular	NA	blČEnd	blČEndŤd
p l ˈa t	p l ˈa t ə d	147	plot	plotted	∅ -> ɪ d	regular	NA	plČat	plČatŤd
ɹ i ə p ˈi ɹ	ɹ i ə p ˈi ɹ d	147	reappear	reappeared	∅ -> d	regular	NA	riŤpČir	riŤpČird
ɹ ˈɪ n s	ɹ ˈɪ n s t	147	rinse	rinsed	∅ -> t	regular	NA	rČIns	rČInst
k ˈʌ p ə l	k ˈʌ p ə l d	146	couple	coupled	∅ -> d	regular	NA	kČĂpŤl	kČĂpŤld
ə p ɹ ˈɛ s	ə p ɹ ˈɛ s t	146	oppress	oppressed	∅ -> t	regular	NA	ŤprČEs	ŤprČEst
p ə z ˈɪ ʃ ə n	p ə z ˈɪ ʃ ə n d	146	position	positioned	∅ -> d	regular	NA	pŤzČISŤn	pŤzČISŤnd
ʃ ˈa p	ʃ ˈa p t	146	shop	shopped	∅ -> t	regular	NA	SČap	SČapt
s ˈʌ m ə ɹ aɪ z	s ˈʌ m ə ɹ aɪ z d	146	summarize	summarized	∅ -> d	regular	NA	sČĂmŤrYz	sČĂmŤrYzd
ˈæ l ə k eɪ t	ˈæ l ə k eɪ t ə d	145	allocate	allocated	∅ -> ɪ d	regular	NA	ČQlŤket	ČQlŤketŤd
b l ˈæ k	b l ˈæ k t	145	black	blacked	∅ -> t	regular	NA	blČQk	blČQkt
k ɹ ˈi k	k ɹ ˈi k t	145	creak	creaked	∅ -> t	regular	NA	krČik	krČikt
ɪ n d ˈeɪ n dʒ ɚ	ɪ n d ˈeɪ n dʒ ɚ d	145	endanger	endangered	∅ -> d	regular	NA	IndČenJŐ	IndČenJŐd
ɪ v ˈæ p ə ɹ eɪ t	ɪ v ˈæ p ə ɹ eɪ t ə d	145	evaporate	evaporated	∅ -> ɪ d	regular	NA	IvČQpŤret	IvČQpŤretŤd
h ɚ ˈæ s	h ɚ ˈæ s t	145	harass	harassed	∅ -> t	regular	NA	hŐČQs	hŐČQst
t oʊ ɹ m ˈɛ n t	t oʊ ɹ m ˈɛ n t ə d	145	torment	tormented	∅ -> ɪ d	regular	NA	tormČEnt	tormČEntŤd
ə w ˈeɪ k	ə w ˈoʊ k	144	awake	awoke	e -> o	irregular	NA	ŤwČek	ŤwČok
b ˈɛ k ə n	b ˈɛ k ə n d	144	beckon	beckoned	∅ -> d	regular	NA	bČEkŤn	bČEkŤnd
d ˈaɪ ə l	d ˈaɪ ə l d	144	dial	dialled	∅ -> d	regular	NA	dČYŤl	dČYŤld
ɪ n v ˈoʊ k	ɪ n v ˈoʊ k t	144	invoke	invoked	∅ -> t	regular	NA	InvČok	InvČokt
p ˈoʊ s t	p ˈoʊ s t ə d	144	post	posted	∅ -> ɪ d	regular	NA	pČost	pČostŤd
s t ˈoʊ ɹ m	s t ˈoʊ ɹ m d	144	storm	stormed	∅ -> d	regular	NA	stČorm	stČormd
d ɪ s ɹ ˈʌ p t	d ɪ s ɹ ˈʌ p t ə d	143	disrupt	disrupted	∅ -> ɪ d	regular	NA	dIsrČĂpt	dIsrČĂptŤd
s l ˈoʊ p	s l ˈoʊ p t	143	slope	sloped	∅ -> t	regular	NA	slČop	slČopt
k l ˈeɪ ɹ ɪ f aɪ	k l ˈeɪ ɹ ɪ f aɪ d	142	clarify	clarified	∅ -> d	regular	NA	klČerIfY	klČerIfYd
p ˈi ɹ s	p ˈi ɹ s t	142	pierce	pierced	∅ -> t	regular	NA	pČirs	pČirst
ʃ ˈoʊ ɹ t ə n	ʃ ˈoʊ ɹ t ə n d	142	shorten	shortened	∅ -> d	regular	NA	SČortŤn	SČortŤnd
s ə b s ˈaɪ d	s ə b s ˈaɪ d ə d	142	subside	subsided	∅ -> ɪ d	regular	NA	sŤbsČYd	sŤbsČYdŤd
