level_0	index	wordform1	wordform2	wordform1_orth	wordform2_orth	stem	output
5237	7007	v ə r k w ɑ n s ə l ə	v ə r k w ɑ n s ə l d ə	verkwanselen	verkwanselden	⋊ v ə r k w ɑ n s ə l ə ⋉	⋊ v ə r k w ɑ n s ə l d ə ⋉
5248	7020	m eː v uː r ə	m eː v uː r d ə	meevoeren	meevoerden	⋊ m eː v uː r ə ⋉	⋊ m eː v uː r d ə ⋉
5249	7021	b ə s t ɪ p ə	b ə s t ɪ p t ə	bestippen	bestipten	⋊ b ə s t ɪ p ə ⋉	⋊ b ə s t ɪ p t ə ⋉
5257	7030	m eː d ɛ ŋ k ə	m eː d ɑ x t ə	meedenken	meedachten	⋊ m eː d ɛ ŋ k ə ⋉	⋊ m eː d ɑ x t ə ⋉
5261	7035	p ɑ n d ə	p ɑ n d ə	panden	pandden	⋊ p ɑ n d ə ⋉	⋊ p ɑ n d ə ⋉
5266	7040	aː n s x ɑ f ə	aː n s x ɑ f t ə	aanschaffen	aanschaften	⋊ aː n s x ɑ f ə ⋉	⋊ aː n s x ɑ f t ə ⋉
5267	7042	p aː v w ɑ z eː r ə	p aː v w ɑ z eː r d ə	pavoiseren	pavoiseerden	⋊ p aː v w ɑ z eː r ə ⋉	⋊ p aː v w ɑ z eː r d ə ⋉
5268	7043	v ə r t ɪ l ə	v ə r t ɪ l d ə	vertillen	vertilden	⋊ v ə r t ɪ l ə ⋉	⋊ v ə r t ɪ l d ə ⋉
5275	7053	m ɪ s k ɛ n ə	m ɪ s k ɛ n d ə	miskennen	miskenden	⋊ m ɪ s k ɛ n ə ⋉	⋊ m ɪ s k ɛ n d ə ⋉
5277	7055	p iː l ə	p iː l d ə	pielen	pielden	⋊ p iː l ə ⋉	⋊ p iː l d ə ⋉
5295	7076	ɑ f s ɑ b ə l ə	ɑ f s ɑ b ə l d ə	afzabbelen	afzabbelden	⋊ ɑ f s ɑ b ə l ə ⋉	⋊ ɑ f s ɑ b ə l d ə ⋉
5308	7092	x l ɔ s eː r ə	x l ɔ s eː r d ə	glosseren	glosseerden	⋊ x l ɔ s eː r ə ⋉	⋊ x l ɔ s eː r d ə ⋉
5326	7114	ɔ n d ə r ʊɪ t s ɑ k ə	ɔ n d ə r ʊɪ t s ɑ k t ə	onderuitzakken	onderuitzakten	⋊ ɔ n d ə r ʊ ɪ t s ɑ k ə ⋉	⋊ ɔ n d ə r ʊ ɪ t s ɑ k t ə ⋉
5327	7115	w eː r s p iː ɣ ə l ə	w eː r s p iː ɣ ə l d ə	weerspiegelen	weerspiegelden	⋊ w eː r s p iː ɣ ə l ə ⋉	⋊ w eː r s p iː ɣ ə l d ə ⋉
5333	7123	d oː r p r ɪ k ə	d oː r p r ɪ k t ə	doorprikken	doorprikten	⋊ d oː r p r ɪ k ə ⋉	⋊ d oː r p r ɪ k t ə ⋉
5334	7124	d r ʊ p ə l ə	d r ʊ p ə l d ə	druppelen	druppelden	⋊ d r ʊ p ə l ə ⋉	⋊ d r ʊ p ə l d ə ⋉
5336	7129	ɔ p w ɪ n d ə	ɔ p w ɔ n d ə	opwinden	opwonden	⋊ ɔ p w ɪ n d ə ⋉	⋊ ɔ p w ɔ n d ə ⋉
5337	7130	v ɔ l t ə ɣ eː r ə	v ɔ l t ə ɣ eː r d ə	voltigeren	voltigeerden	⋊ v ɔ l t ə ɣ eː r ə ⋉	⋊ v ɔ l t ə ɣ eː r d ə ⋉
5341	7134	v r eː m t x aː n	v r eː m t x ɪ ŋ ə	vreemdgaan	vreemdgingen	⋊ v r eː m t x aː n ⋉	⋊ v r eː m t x ɪ ŋ ə ⋉
5346	7139	m iː t iː z eː r ə	m iː t iː z eː r d ə	mythiseren	mythiseerden	⋊ m iː t iː z eː r ə ⋉	⋊ m iː t iː z eː r d ə ⋉
5348	7142	ɔ p w ɪ p ə	ɔ p w ɪ p t ə	opwippen	opwipten	⋊ ɔ p w ɪ p ə ⋉	⋊ ɔ p w ɪ p t ə ⋉
5349	7143	x l ɑ t s x eː r ə	x l ɑ t s x oː r ə	gladscheren	gladschoren	⋊ x l ɑ t s x eː r ə ⋉	⋊ x l ɑ t s x oː r ə ⋉
5352	7146	ɔ m s t ɪ k ə	ɔ m s t ɪ k t ə	omstikken	omstikten	⋊ ɔ m s t ɪ k ə ⋉	⋊ ɔ m s t ɪ k t ə ⋉
5355	7150	r ɔ n t s aː j ə	r ɔ n t s aː j d ə	rondzaaien	rondzaaiden	⋊ r ɔ n t s aː j ə ⋉	⋊ r ɔ n t s aː j d ə ⋉
5364	7163	w ɛ ɣ d ʊɪ k ə	w ɛ ɣ d oː k ə	wegduiken	wegdoken	⋊ w ɛ ɣ d ʊ ɪ k ə ⋉	⋊ w ɛ ɣ d oː k ə ⋉
5367	7169	oː v ə r l eː v ə r ə	oː v ə r l eː v ə r d ə	overleveren	overleverden	⋊ oː v ə r l eː v ə r ə ⋉	⋊ oː v ə r l eː v ə r d ə ⋉
5378	7188	ɑ n t ə s ə d eː r ə	ɑ n t ə s ə d eː r d ə	antecederen	antecedeerden	⋊ ɑ n t ə s ə d eː r ə ⋉	⋊ ɑ n t ə s ə d eː r d ə ⋉
5384	7200	t ə r ʊ x s x r ɪ k ə	t ə r ʊ x s x r ɔ k ə	terugschrikken	terugschrokken	⋊ t ə r ʊ x s x r ɪ k ə ⋉	⋊ t ə r ʊ x s x r ɔ k ə ⋉
5385	7201	d oː r s x eː m ə r ə	d oː r s x eː m ə r d ə	doorschemeren	doorschemerden	⋊ d oː r s x eː m ə r ə ⋉	⋊ d oː r s x eː m ə r d ə ⋉
5396	7214	ɔ m v ɛ r k eː ɣ ə l ə	ɔ m v ɛ r k eː ɣ ə l d ə	omverkegelen	omverkegelden	⋊ ɔ m v ɛ r k eː ɣ ə l ə ⋉	⋊ ɔ m v ɛ r k eː ɣ ə l d ə ⋉
5421	7248	k w aː d r yː p l eː r ə	k w aː d r yː p l eː r d ə	quadrupleren	quadrupleerden	⋊ k w aː d r yː p l eː r ə ⋉	⋊ k w aː d r yː p l eː r d ə ⋉
5439	7274	ɪ n t ɛ n d eː r ə	ɪ n t ɛ n d eː r d ə	intenderen	intendeerden	⋊ ɪ n t ɛ n d eː r ə ⋉	⋊ ɪ n t ɛ n d eː r d ə ⋉
5440	7275	b l oː t x eː v ə	b l oː t x aː v ə	blootgeven	blootgaven	⋊ b l oː t x eː v ə ⋉	⋊ b l oː t x aː v ə ⋉
5446	7283	k ɑ r b yː r eː r ə	k ɑ r b yː r eː r d ə	carbureren	carbureerden	⋊ k ɑ r b yː r eː r ə ⋉	⋊ k ɑ r b yː r eː r d ə ⋉
5452	7294	ʊɪ t r ʊ k ə	ʊɪ t r ʊ k t ə	uitrukken	uitrukten	⋊ ʊ ɪ t r ʊ k ə ⋉	⋊ ʊ ɪ t r ʊ k t ə ⋉
5456	7299	k ɔ n f ɔ r m eː r ə	k ɔ n f ɔ r m eː r d ə	conformeren	conformeerden	⋊ k ɔ n f ɔ r m eː r ə ⋉	⋊ k ɔ n f ɔ r m eː r d ə ⋉
5470	7316	ɑ b r eː v iː j eː r ə	ɑ b r eː v iː j eː r d ə	abbrevieren	abbrevieerden	⋊ ɑ b r eː v iː j eː r ə ⋉	⋊ ɑ b r eː v iː j eː r d ə ⋉
5477	7327	t ɛ m p ə r ə	t ɛ m p ə r d ə	temperen	temperden	⋊ t ɛ m p ə r ə ⋉	⋊ t ɛ m p ə r d ə ⋉
5481	7331	f r ɔ t eː r ə	f r ɔ t eː r d ə	frotteren	frotteerden	⋊ f r ɔ t eː r ə ⋉	⋊ f r ɔ t eː r d ə ⋉
5484	7334	v ə r w oː r d ə	v ə r w oː r d ə	verwoorden	verwoordden	⋊ v ə r w oː r d ə ⋉	⋊ v ə r w oː r d ə ⋉
5488	7339	n ɛ p ə	n ɛ p t ə	neppen	nepten	⋊ n ɛ p ə ⋉	⋊ n ɛ p t ə ⋉
5489	7340	x ɪ s t ə	x ɪ s t ə	gisten	gistten	⋊ x ɪ s t ə ⋉	⋊ x ɪ s t ə ⋉
5494	7348	m eː t ɛ l ə	m eː t ɛ l d ə	meetellen	meetelden	⋊ m eː t ɛ l ə ⋉	⋊ m eː t ɛ l d ə ⋉
5501	7356	ɔ b d r aː n ə	ɔ b d r aː n d ə	opdreunen	opdreunden	⋊ ɔ b d r aː n ə ⋉	⋊ ɔ b d r aː n d ə ⋉
5503	7358	ɪ ŋ ɣ eː v ə	ɪ ŋ ɣ aː v ə	ingeven	ingaven	⋊ ɪ ŋ ɣ eː v ə ⋉	⋊ ɪ ŋ ɣ aː v ə ⋉
5504	7359	m iː t oː l oː ɣ iː z eː r ə	m iː t oː l oː ɣ iː z eː r d ə	mythologiseren	mythologiseerden	⋊ m iː t oː l oː ɣ iː z eː r ə ⋉	⋊ m iː t oː l oː ɣ iː z eː r d ə ⋉
5505	7360	k r iː j uː l ə	k r iː j uː l d ə	krioelen	krioelden	⋊ k r iː j uː l ə ⋉	⋊ k r iː j uː l d ə ⋉
5507	7363	s x iː t ə	s x oː t ə	schieten	schoten	⋊ s x iː t ə ⋉	⋊ s x oː t ə ⋉
5535	7400	ɪ l yː s t r eː r ə	ɪ l yː s t r eː r d ə	illustreren	illustreerden	⋊ ɪ l yː s t r eː r ə ⋉	⋊ ɪ l yː s t r eː r d ə ⋉
5537	7402	f ʊ ŋ ɣ eː r ə	f ʊ ŋ ɣ eː r d ə	fungeren	fungeerden	⋊ f ʊ ŋ ɣ eː r ə ⋉	⋊ f ʊ ŋ ɣ eː r d ə ⋉
5543	7409	v ə r w ɛ r k ə	v ə r w ɛ r k t ə	verwerken	verwerkten	⋊ v ə r w ɛ r k ə ⋉	⋊ v ə r w ɛ r k t ə ⋉
5548	7414	b ə z ɑ n d ə	b ə z ɑ n d ə	bezanden	bezandden	⋊ b ə z ɑ n d ə ⋉	⋊ b ə z ɑ n d ə ⋉
5555	7423	d iː p ə	d iː p t ə	diepen	diepten	⋊ d iː p ə ⋉	⋊ d iː p t ə ⋉
5559	7430	v oː r t m aː k ə	v oː r t m aː k t ə	voortmaken	voortmaakten	⋊ v oː r t m aː k ə ⋉	⋊ v oː r t m aː k t ə ⋉
5560	7431	r ɔ n t f ə r t ɛ l ə	r ɔ n t f ə r t ɛ l d ə	rondvertellen	rondvertelden	⋊ r ɔ n t f ə r t ɛ l ə ⋉	⋊ r ɔ n t f ə r t ɛ l d ə ⋉
5581	7462	v ə r v l iː ɣ ə	v ə r v l oː ɣ ə	vervliegen	vervlogen	⋊ v ə r v l iː ɣ ə ⋉	⋊ v ə r v l oː ɣ ə ⋉
5590	7474	ɪ n w ɛɪ d ə	ɪ n w ɛɪ d ə	inwijden	inwijdden	⋊ ɪ n w ɛ ɪ d ə ⋉	⋊ ɪ n w ɛ ɪ d ə ⋉
5591	7475	ɑ f s ɪ x t ə	ɑ f s ɪ x t ə	afzichten	afzichtten	⋊ ɑ f s ɪ x t ə ⋉	⋊ ɑ f s ɪ x t ə ⋉
5596	7482	ɔ n t r aː f ə l ə	ɔ n t r aː f ə l d ə	ontrafelen	ontrafelden	⋊ ɔ n t r aː f ə l ə ⋉	⋊ ɔ n t r aː f ə l d ə ⋉
5601	7487	w ɛ x k oː p ə	w ɛ x k ɔ x t ə	wegkopen	wegkochten	⋊ w ɛ x k oː p ə ⋉	⋊ w ɛ x k ɔ x t ə ⋉
5608	7494	aː l ɑ r m eː r ə	aː l ɑ r m eː r d ə	alarmeren	alarmeerden	⋊ aː l ɑ r m eː r ə ⋉	⋊ aː l ɑ r m eː r d ə ⋉
5611	7497	d ɛ r v ə	d ɛ r v d ə	derven	derfden	⋊ d ɛ r v ə ⋉	⋊ d ɛ r v d ə ⋉
5623	7511	r aː k s l aː n	r aː k s l uː ɣ ə	raakslaan	raaksloegen	⋊ r aː k s l aː n ⋉	⋊ r aː k s l uː ɣ ə ⋉
5631	7523	b ə w ɑ l ə	b ə w ɑ l d ə	bewallen	bewalden	⋊ b ə w ɑ l ə ⋉	⋊ b ə w ɑ l d ə ⋉
5636	7531	k w aː k ə	k w aː k t ə	kwaken	kwaakten	⋊ k w aː k ə ⋉	⋊ k w aː k t ə ⋉
5639	7534	n aː z ə	n aː z d ə	neuzen	neusden	⋊ n aː z ə ⋉	⋊ n aː z d ə ⋉
5640	7535	ɔ n d ə r s t ʊɪ v ə	ɔ n d ə r s t oː v ə	onderstuiven	onderstoven	⋊ ɔ n d ə r s t ʊ ɪ v ə ⋉	⋊ ɔ n d ə r s t oː v ə ⋉
5660	7560	ɑ f p l uː ɣ ə	ɑ f p l uː ɣ d ə	afploegen	afploegden	⋊ ɑ f p l uː ɣ ə ⋉	⋊ ɑ f p l uː ɣ d ə ⋉
5666	7568	x ə l ɛɪ k t r ɛ k ə	x ə l ɛɪ k t r ɔ k ə	gelijktrekken	gelijktrokken	⋊ x ə l ɛ ɪ k t r ɛ k ə ⋉	⋊ x ə l ɛ ɪ k t r ɔ k ə ⋉
5677	7580	s t ɛ r v ə	s t iː r v ə	sterven	stierven	⋊ s t ɛ r v ə ⋉	⋊ s t iː r v ə ⋉
5684	7587	ɑ v b r ɑ n d ə	ɑ v b r ɑ n d ə	afbranden	afbrandden	⋊ ɑ v b r ɑ n d ə ⋉	⋊ ɑ v b r ɑ n d ə ⋉
5689	7596	ɑ p l ɑʊ d iː s eː r ə	ɑ p l ɑʊ d iː s eː r d ə	applaudisseren	applaudisseerden	⋊ ɑ p l ɑ ʊ d iː s eː r ə ⋉	⋊ ɑ p l ɑ ʊ d iː s eː r d ə ⋉
5721	7637	t uː l ʊɪ s t ə r ə	t uː l ʊɪ s t ə r d ə	toeluisteren	toeluisterden	⋊ t uː l ʊ ɪ s t ə r ə ⋉	⋊ t uː l ʊ ɪ s t ə r d ə ⋉
5724	7642	t r ɔ t s eː r ə	t r ɔ t s eː r d ə	trotseren	trotseerden	⋊ t r ɔ t s eː r ə ⋉	⋊ t r ɔ t s eː r d ə ⋉
5733	7655	x ə d ɛ ŋ k ə	x ə d ɑ x t ə	gedenken	gedachten	⋊ x ə d ɛ ŋ k ə ⋉	⋊ x ə d ɑ x t ə ⋉
5744	7671	z oː ɣ ə	z oː ɣ d ə	zogen	zoogden	⋊ z oː ɣ ə ⋉	⋊ z oː ɣ d ə ⋉
5748	7677	ɔ m n aː j ə	ɔ m n aː j d ə	omnaaien	omnaaiden	⋊ ɔ m n aː j ə ⋉	⋊ ɔ m n aː j d ə ⋉
5759	7691	ʊɪ t k r ɛɪ t ə	ʊɪ t k r eː t ə	uitkrijten	uitkreten	⋊ ʊ ɪ t k r ɛ ɪ t ə ⋉	⋊ ʊ ɪ t k r eː t ə ⋉
5760	7692	z w eː r ə	z w oː r ə	zweren	zworen	⋊ z w eː r ə ⋉	⋊ z w oː r ə ⋉
5761	7693	h ɛ ŋ ə l ə	h ɛ ŋ ə l d ə	hengelen	hengelden	⋊ h ɛ ŋ ə l ə ⋉	⋊ h ɛ ŋ ə l d ə ⋉
5767	7700	ɔ p k w ɪ k ə	ɔ p k w ɪ k t ə	opkwikken	opkwikten	⋊ ɔ p k w ɪ k ə ⋉	⋊ ɔ p k w ɪ k t ə ⋉
5768	7701	r ɛ b ə l ə	r ɛ b ə l d ə	rebbelen	rebbelden	⋊ r ɛ b ə l ə ⋉	⋊ r ɛ b ə l d ə ⋉
5774	7708	ɪ m p ɑ l m ə	ɪ m p ɑ l m d ə	inpalmen	inpalmden	⋊ ɪ m p ɑ l m ə ⋉	⋊ ɪ m p ɑ l m d ə ⋉
5780	7722	d ʊɪ z ə l ə	d ʊɪ z ə l d ə	duizelen	duizelden	⋊ d ʊ ɪ z ə l ə ⋉	⋊ d ʊ ɪ z ə l d ə ⋉
5783	7727	aː n l ɛɪ n ə	aː n l ɛɪ n d ə	aanlijnen	aanlijnden	⋊ aː n l ɛ ɪ n ə ⋉	⋊ aː n l ɛ ɪ n d ə ⋉
5801	7748	ɑ v d ɑ m ə	ɑ v d ɑ m d ə	afdammen	afdamden	⋊ ɑ v d ɑ m ə ⋉	⋊ ɑ v d ɑ m d ə ⋉
5808	7757	ɔ n t s x iː t ə	ɔ n t s x oː t ə	ontschieten	ontschoten	⋊ ɔ n t s x iː t ə ⋉	⋊ ɔ n t s x oː t ə ⋉
5813	7765	ɔ p l uː ɣ ə	ɔ p l uː ɣ d ə	opploegen	opploegden	⋊ ɔ p l uː ɣ ə ⋉	⋊ ɔ p l uː ɣ d ə ⋉
5828	7783	b ɛɪ h ɑʊ d ə	b ɛɪ h iː l d ə	bijhouden	bijhielden	⋊ b ɛ ɪ h ɑ ʊ d ə ⋉	⋊ b ɛ ɪ h iː l d ə ⋉
5832	7789	z uː t s x aː v ə	z uː t s x aː v d ə	zoetschaven	zoetschaafden	⋊ z uː t s x aː v ə ⋉	⋊ z uː t s x aː v d ə ⋉
5842	7802	d ɪ f ʊ n d eː r ə	d ɪ f ʊ n d eː r d ə	diffunderen	diffundeerden	⋊ d ɪ f ʊ n d eː r ə ⋉	⋊ d ɪ f ʊ n d eː r d ə ⋉
5846	7807	k ɪ s k ɑ s ə	k ɪ s k ɑ s t ə	kiskassen	kiskasten	⋊ k ɪ s k ɑ s ə ⋉	⋊ k ɪ s k ɑ s t ə ⋉
5851	7812	ɔ m v ɛ r s x iː t ə	ɔ m v ɛ r s x oː t ə	omverschieten	omverschoten	⋊ ɔ m v ɛ r s x iː t ə ⋉	⋊ ɔ m v ɛ r s x oː t ə ⋉
5852	7814	s ɪ ŋ ə l ə	s ɪ ŋ ə l d ə	singelen	singelden	⋊ s ɪ ŋ ə l ə ⋉	⋊ s ɪ ŋ ə l d ə ⋉
5853	7816	ɔ m w r ɪ ŋ ə	ɔ m w r ɔ ŋ ə	omwringen	omwrongen	⋊ ɔ m w r ɪ ŋ ə ⋉	⋊ ɔ m w r ɔ ŋ ə ⋉
5858	7822	d oː z eː r ə	d oː z eː r d ə	doseren	doseerden	⋊ d oː z eː r ə ⋉	⋊ d oː z eː r d ə ⋉
5864	7829	ɔ p s p r ɪ ŋ ə	ɔ p s p r ɔ ŋ ə	opspringen	opsprongen	⋊ ɔ p s p r ɪ ŋ ə ⋉	⋊ ɔ p s p r ɔ ŋ ə ⋉
5867	7832	v ə r h ɪ t ə	v ə r h ɪ t ə	verhitten	verhitten	⋊ v ə r h ɪ t ə ⋉	⋊ v ə r h ɪ t ə ⋉
5870	7835	f eː l iː s iː t eː r ə	f eː l iː s iː t eː r d ə	feliciteren	feliciteerden	⋊ f eː l iː s iː t eː r ə ⋉	⋊ f eː l iː s iː t eː r d ə ⋉
5873	7839	ɑ f r aː k ə	ɑ f r aː k t ə	afraken	afraakten	⋊ ɑ f r aː k ə ⋉	⋊ ɑ f r aː k t ə ⋉
5878	7845	l eː ɣ d r aː ɣ ə	l eː ɣ d r uː ɣ ə	leegdragen	leegdroegen	⋊ l eː ɣ d r aː ɣ ə ⋉	⋊ l eː ɣ d r uː ɣ ə ⋉
5881	7851	ɑ f p r ɪ k ə	ɑ f p r ɪ k t ə	afprikken	afprikten	⋊ ɑ f p r ɪ k ə ⋉	⋊ ɑ f p r ɪ k t ə ⋉
5894	7866	b ɔ r ə l ə	b ɔ r ə l d ə	borrelen	borrelden	⋊ b ɔ r ə l ə ⋉	⋊ b ɔ r ə l d ə ⋉
5913	7890	l eː ɣ ə r ə	l eː ɣ ə r d ə	legeren	legerden	⋊ l eː ɣ ə r ə ⋉	⋊ l eː ɣ ə r d ə ⋉
5939	7927	v ə r t eː d ə r ə	v ə r t eː d ə r d ə	vertederen	vertederden	⋊ v ə r t eː d ə r ə ⋉	⋊ v ə r t eː d ə r d ə ⋉
5946	7935	s t ʊ f ə	s t ʊ f t ə	stuffen	stuften	⋊ s t ʊ f ə ⋉	⋊ s t ʊ f t ə ⋉
5949	7938	v oː m eː r ə	v oː m eː r d ə	vomeren	vomeerden	⋊ v oː m eː r ə ⋉	⋊ v oː m eː r d ə ⋉
5959	7950	n aː r eː k ə n ə	n aː r eː k ə n d ə	narekenen	narekenden	⋊ n aː r eː k ə n ə ⋉	⋊ n aː r eː k ə n d ə ⋉
5961	7952	ʊɪ t k eː p ə	ʊɪ t k eː p t ə	uitkepen	uitkeepten	⋊ ʊ ɪ t k eː p ə ⋉	⋊ ʊ ɪ t k eː p t ə ⋉
5966	7957	v l ɛ x t ə	v l ɔ x t ə	vlechten	vlochten	⋊ v l ɛ x t ə ⋉	⋊ v l ɔ x t ə ⋉
5968	7959	k l ɛɪ ŋ k r ɛɪ ɣ ə	k l ɛɪ ŋ k r eː ɣ ə	kleinkrijgen	kleinkregen	⋊ k l ɛ ɪ ŋ k r ɛ ɪ ɣ ə ⋉	⋊ k l ɛ ɪ ŋ k r eː ɣ ə ⋉
5969	7960	l ɔ z b ɑ r s t ə	l ɔ z b ɑ r s t ə	losbarsten	losbarstten	⋊ l ɔ z b ɑ r s t ə ⋉	⋊ l ɔ z b ɑ r s t ə ⋉
5976	7971	k ɑ l f aː t ə r ə	k ɑ l f aː t ə r d ə	kalfateren	kalfaterden	⋊ k ɑ l f aː t ə r ə ⋉	⋊ k ɑ l f aː t ə r d ə ⋉
5977	7972	ɔ n d ə r b ɑʊ w ə	ɔ n d ə r b ɑʊ w d ə	onderbouwen	onderbouwden	⋊ ɔ n d ə r b ɑ ʊ w ə ⋉	⋊ ɔ n d ə r b ɑ ʊ w d ə ⋉
5978	7973	aː n l uː r ə	aː n l uː r d ə	aanloeren	aanloerden	⋊ aː n l uː r ə ⋉	⋊ aː n l uː r d ə ⋉
5984	7979	ɪ n s x aː r ə	ɪ n s x aː r d ə	inscheuren	inscheurden	⋊ ɪ n s x aː r ə ⋉	⋊ ɪ n s x aː r d ə ⋉
5993	7991	b ə t ɔ n ə	b ə t ɔ n d ə	betonnen	betonden	⋊ b ə t ɔ n ə ⋉	⋊ b ə t ɔ n d ə ⋉
5995	7993	s t oː k ə	s t oː k t ə	stoken	stookten	⋊ s t oː k ə ⋉	⋊ s t oː k t ə ⋉
5996	7994	m ɑ ŋ ə l ə	m ɑ ŋ ə l d ə	mangelen	mangelden	⋊ m ɑ ŋ ə l ə ⋉	⋊ m ɑ ŋ ə l d ə ⋉
5998	7998	ʃ eː k ə	ʃ eː k t ə	shaken	shaketen	⋊ ʃ eː k ə ⋉	⋊ ʃ eː k t ə ⋉
6004	8009	v oː r ʊɪ t h ɛ l p ə	v oː r ʊɪ t h iː l p ə	vooruithelpen	vooruithielpen	⋊ v oː r ʊ ɪ t h ɛ l p ə ⋉	⋊ v oː r ʊ ɪ t h iː l p ə ⋉
6006	8012	b ə l ʊɪ d ə	b ə l ʊɪ d ə	beluiden	beluidden	⋊ b ə l ʊ ɪ d ə ⋉	⋊ b ə l ʊ ɪ d ə ⋉
6013	8023	v r ɛɪ b ʊɪ t ə r ə	v r ɛɪ b ʊɪ t ə r d ə	vrijbuiteren	vrijbuiterden	⋊ v r ɛ ɪ b ʊ ɪ t ə r ə ⋉	⋊ v r ɛ ɪ b ʊ ɪ t ə r d ə ⋉
6025	8040	v oː r ɣ l uː j ə	v oː r ɣ l uː j d ə	voorgloeien	voorgloeiden	⋊ v oː r ɣ l uː j ə ⋉	⋊ v oː r ɣ l uː j d ə ⋉
6029	8045	p r oː l ɔ ŋ ɣ eː r ə	p r oː l ɔ ŋ ɣ eː r d ə	prolongeren	prolongeerden	⋊ p r oː l ɔ ŋ ɣ eː r ə ⋉	⋊ p r oː l ɔ ŋ ɣ eː r d ə ⋉
6034	8053	s t r ɪ p ə	s t r ɪ p t ə	strippen	stripten	⋊ s t r ɪ p ə ⋉	⋊ s t r ɪ p t ə ⋉
6039	8060	p aː r ɛ s eː r ə	p aː r ɛ s eː r d ə	paraisseren	paraisseerden	⋊ p aː r ɛ s eː r ə ⋉	⋊ p aː r ɛ s eː r d ə ⋉
6045	8066	oː v ə r p r ɪ k ə l ə	oː v ə r p r ɪ k ə l d ə	overprikkelen	overprikkelden	⋊ oː v ə r p r ɪ k ə l ə ⋉	⋊ oː v ə r p r ɪ k ə l d ə ⋉
6053	8075	v iː b r eː r ə	v iː b r eː r d ə	vibreren	vibreerden	⋊ v iː b r eː r ə ⋉	⋊ v iː b r eː r d ə ⋉
6054	8076	m oː j z ɪ t ə	m oː j z aː t ə	mooizitten	mooizaten	⋊ m oː j z ɪ t ə ⋉	⋊ m oː j z aː t ə ⋉
6058	8082	ɑ p r oː v iː j ɑ n d eː r ə	ɑ p r oː v iː j ɑ n d eː r d ə	approvianderen	approviandeerden	⋊ ɑ p r oː v iː j ɑ n d eː r ə ⋉	⋊ ɑ p r oː v iː j ɑ n d eː r d ə ⋉
6071	8102	b ʊɪ ɣ ə	b oː ɣ ə	buigen	bogen	⋊ b ʊ ɪ ɣ ə ⋉	⋊ b oː ɣ ə ⋉
6086	8121	m ɑ s aː k r eː r ə	m ɑ s aː k r eː r d ə	massacreren	massacreerden	⋊ m ɑ s aː k r eː r ə ⋉	⋊ m ɑ s aː k r eː r d ə ⋉
6099	8140	ɔ p ə r ə	ɔ p ə r d ə	opperen	opperden	⋊ ɔ p ə r ə ⋉	⋊ ɔ p ə r d ə ⋉
6129	8181	ɑ n t w oː r d ə	ɑ n t w oː r d ə	antwoorden	antwoordden	⋊ ɑ n t w oː r d ə ⋉	⋊ ɑ n t w oː r d ə ⋉
6135	8189	ɔ n t l ɔ k ə	ɔ n t l ɔ k t ə	ontlokken	ontlokten	⋊ ɔ n t l ɔ k ə ⋉	⋊ ɔ n t l ɔ k t ə ⋉
6143	8201	oː v ə r b l ʊ f ə	oː v ə r b l ʊ f t ə	overbluffen	overbluften	⋊ oː v ə r b l ʊ f ə ⋉	⋊ oː v ə r b l ʊ f t ə ⋉
6145	8204	ɑ n s ə n eː r ə	ɑ n s ə n eː r d ə	ensceneren	ensceneerden	⋊ ɑ n s ə n eː r ə ⋉	⋊ ɑ n s ə n eː r d ə ⋉
6146	8205	ʊɪ t l ɑ ŋ ə	ʊɪ t l ɑ ŋ d ə	uitlangen	uitlangden	⋊ ʊ ɪ t l ɑ ŋ ə ⋉	⋊ ʊ ɪ t l ɑ ŋ d ə ⋉
6149	8209	eː t ə	aː t ə	eten	aten	⋊ eː t ə ⋉	⋊ aː t ə ⋉
6153	8214	s ʊɪ z ə	s ʊɪ z d ə	suizen	suisden	⋊ s ʊ ɪ z ə ⋉	⋊ s ʊ ɪ z d ə ⋉
6158	8219	h ɛ r ɛɪ k ə	h ɛ r ɛɪ k t ə	herijken	herijkten	⋊ h ɛ r ɛ ɪ k ə ⋉	⋊ h ɛ r ɛ ɪ k t ə ⋉
6162	8225	b ə k ɑ m p ə	b ə k ɑ m p t ə	bekampen	bekampten	⋊ b ə k ɑ m p ə ⋉	⋊ b ə k ɑ m p t ə ⋉
6169	8236	ɑ f s l iː r ə	ɑ f s l iː r d ə	afslieren	afslierden	⋊ ɑ f s l iː r ə ⋉	⋊ ɑ f s l iː r d ə ⋉
6178	8249	ɑ f l uː r ə	ɑ f l uː r d ə	afloeren	afloerden	⋊ ɑ f l uː r ə ⋉	⋊ ɑ f l uː r d ə ⋉
6184	8256	v ɑ s t l oː p ə	v ɑ s t l iː p ə	vastlopen	vastliepen	⋊ v ɑ s t l oː p ə ⋉	⋊ v ɑ s t l iː p ə ⋉
6191	8264	b ɪ n ə b r ɛ ŋ ə	b ɪ n ə b r ɑ x t ə	binnenbrengen	binnenbrachten	⋊ b ɪ n ə b r ɛ ŋ ə ⋉	⋊ b ɪ n ə b r ɑ x t ə ⋉
6206	8285	ɔ p k n oː p ə	ɔ p k n oː p t ə	opknopen	opknoopten	⋊ ɔ p k n oː p ə ⋉	⋊ ɔ p k n oː p t ə ⋉
