level_0	index	wordform1	wordform2	wordform1_orth	wordform2_orth	stem	output
8408	11489	ʃ m ɛ k ə n	g ə ʃ m ɛ k t	schmecken	geschmeckt	⋊ ʃ m ɛ k ə n ⋉	⋊ ʃ m ɛ k t ⋉
8425	11515	l ɔ k ə r n	g ə l ɔ k ə r t	lockern	gelockert	⋊ l ɔ k ə r n ⋉	⋊ l ɔ k ə r t ⋉
8429	11520	ʃ t ɔ l ts iː r ə n	ʃ t ɔ l ts iː r t	stolzieren	stolziert	⋊ ʃ t ɔ l ts iː r ə n ⋉	⋊ ʃ t ɔ l ts iː r t ⋉
8478	11589	v ɛ k ʃ ʏ t ə n	v ɛ k g ə ʃ ʏ t ə t	wegschütten	weggeschüttet	⋊ v ɛ k ʃ ʏ t ə n ⋉	⋊ v ɛ k g ə ʃ ʏ t ə t ⋉
8493	11607	ɛ r k ɛ k ə n	ɛ r k ɛ k t	erkecken	erkeckt	⋊ ɛ r k ɛ k ə n ⋉	⋊ ɛ r k ɛ k t ⋉
8533	11665	ts uː ʃ p ɪ ts ə n	ts uː g ə ʃ p ɪ ts t	zuspitzen	zugespitzt	⋊ ts uː ʃ p ɪ ts ə n ⋉	⋊ ts uː g ə ʃ p ɪ ts t ⋉
8548	11685	p ɪ k ə l n	g ə p ɪ k ə l t	pickeln	gepickelt	⋊ p ɪ k ə l n ⋉	⋊ p ɪ k ə l t ⋉
8580	11724	au̯ f ʃ au̯ ə n	au̯ f g ə ʃ au̯ t	aufschauen	aufgeschaut	⋊ a u f ʃ a u ə n ⋉	⋊ a u f g ə ʃ a u t ⋉
8604	11757	au̯ s h ɔ r x ə n	au̯ s g ə h ɔ r ç t	aushorchen	ausgehorcht	⋊ a u s h ɔ r x ə n ⋉	⋊ a u s g ə h ɔ r ç t ⋉
8605	11759	au̯ s g ʊ k ə n	au̯ s g ə g ʊ k t	ausgucken	ausgeguckt	⋊ a u s g ʊ k ə n ⋉	⋊ a u s g ə g ʊ k t ⋉
8622	11782	p oː l eː m iː z iː r ə n	p oː l eː m iː z iː r t	polemisieren	polemisiert	⋊ p oː l eː m iː z iː r ə n ⋉	⋊ p oː l eː m iː z iː r t ⋉
8624	11784	t oi̯ f ə n	g ə t oi̯ f t	teufen	geteuft	⋊ t o i f ə n ⋉	⋊ t o i f t ⋉
8626	11786	f ɛ r p r yː g ə l n	f ɛ r p r yː g ə l t	verprügeln	verprügelt	⋊ f ɛ r p r yː g ə l n ⋉	⋊ f ɛ r p r yː g ə l t ⋉
8647	11820	au̯ s h ɔ l ts ə n	au̯ s g ə h ɔ l ts t	ausholzen	ausgeholzt	⋊ a u s h ɔ l ts ə n ⋉	⋊ a u s g ə h ɔ l ts t ⋉
8681	11865	ʊ m t ɔ pf ə n	ʊ m g ə t ɔ pf t	umtopfen	umgetopft	⋊ ʊ m t ɔ pf ə n ⋉	⋊ ʊ m g ə t ɔ pf t ⋉
8700	11891	b ai̯ x t ə n	g ə b ai̯ x t ə t	beichten	gebeichtet	⋊ b a i x t ə n ⋉	⋊ b a i x t ə t ⋉
8704	11896	a r t iː k uː l iː r ə n	a r t iː k uː l iː r t	artikulieren	artikuliert	⋊ a r t iː k uː l iː r ə n ⋉	⋊ a r t iː k uː l iː r t ⋉
8740	11953	ʃ iː f ə r n	g ə ʃ iː f ə r t	schiefern	geschiefert	⋊ ʃ iː f ə r n ⋉	⋊ ʃ iː f ə r t ⋉
8753	11969	f r iː z iː r ə n	f r iː z iː r t	frisieren	frisiert	⋊ f r iː z iː r ə n ⋉	⋊ f r iː z iː r t ⋉
8760	11979	h ɛ r ʊ n t ə r r ai̯ s ə n	h ɛ r ʊ n t ə r g ə r ɪ s ə n	herunterreissen	heruntergerissen	⋊ h ɛ r ʊ n t ə r r a i s ə n ⋉	⋊ h ɛ r ʊ n t ə r g ə r ɪ s ə n ⋉
8778	12007	ʃ ɔ l ə r n	g ə ʃ ɔ l ə r t	schollern	geschollert	⋊ ʃ ɔ l ə r n ⋉	⋊ ʃ ɔ l ə r t ⋉
8792	12025	au̯ f r oi̯ m ə n	au̯ f g ə r oi̯ m t	aufräumen	aufgeräumt	⋊ a u f r o i m ə n ⋉	⋊ a u f g ə r o i m t ⋉
8805	12041	ts uː z a m ə n b r au̯ ə n	ts uː z a m ə n g ə b r au̯ t	zusammenbrauen	zusammengebraut	⋊ ts uː z a m ə n b r a u ə n ⋉	⋊ ts uː z a m ə n g ə b r a u t ⋉
8807	12043	l iː p oi̯ g ə l n	g ə l iː p oi̯ g ə l t	liebäugeln	geliebäugelt	⋊ l iː p o i g ə l n ⋉	⋊ l iː p o i g ə l t ⋉
8822	12064	ts iː ə n	g ə ts oː g ə n	ziehen	gezogen	⋊ ts iː ə n ⋉	⋊ ts oː g ə n ⋉
8832	12077	yː b r ɪ ç l a s ə n	yː b r ɪ ç g ə l a s ə n	übriglassen	übriggelassen	⋊ yː b r ɪ ç l a s ə n ⋉	⋊ yː b r ɪ ç g ə l a s ə n ⋉
8840	12091	f ɛ r d ɛ r b ə n	f ɛ r d ɔ r b ə n	verderben	verdorben	⋊ f ɛ r d ɛ r b ə n ⋉	⋊ f ɛ r d ɔ r b ə n ⋉
8846	12099	b ə f r ɛ m d ə n	b ə f r ɛ m d ə t	befremden	befremdet	⋊ b ə f r ɛ m d ə n ⋉	⋊ b ə f r ɛ m d ə t ⋉
8858	12115	ts ɛ r ts au̯ z ə n	ts ɛ r ts au̯ s t	zerzausen	zerzaust	⋊ ts ɛ r ts a u z ə n ⋉	⋊ ts ɛ r ts a u s t ⋉
8864	12125	h ɔ s p iː t iː r ə n	h ɔ s p iː t iː r t	hospitieren	hospitiert	⋊ h ɔ s p iː t iː r ə n ⋉	⋊ h ɔ s p iː t iː r t ⋉
8892	12164	d eː k l a m iː r ə n	d eː k l a m iː r t	deklamieren	deklamiert	⋊ d eː k l a m iː r ə n ⋉	⋊ d eː k l a m iː r t ⋉
8900	12178	f oː r v œ l b ə n	f oː r g ə v œ l p t	vorwölben	vorgewölbt	⋊ f oː r v œ l b ə n ⋉	⋊ f oː r g ə v œ l p t ⋉
8918	12203	k l aː r iː r ə n	k l aː r iː r t	klarieren	klariert	⋊ k l aː r iː r ə n ⋉	⋊ k l aː r iː r t ⋉
8925	12212	ts ɛ r b ɛ r s t ə n	ts ɛ r b ɔ r s t ə n	zerbersten	zerborsten	⋊ ts ɛ r b ɛ r s t ə n ⋉	⋊ ts ɛ r b ɔ r s t ə n ⋉
8930	12217	a p r iː g ə l n	a p g ə r iː g ə l t	abriegeln	abgeriegelt	⋊ a p r iː g ə l n ⋉	⋊ a p g ə r iː g ə l t ⋉
8932	12220	b a s t ə l n	g ə b a s t ə l t	basteln	gebastelt	⋊ b a s t ə l n ⋉	⋊ b a s t ə l t ⋉
8991	12292	ai̯ n k au̯ f ə n	ai̯ n g ə k au̯ f t	einkaufen	eingekauft	⋊ a i n k a u f ə n ⋉	⋊ a i n g ə k a u f t ⋉
9050	12385	m a n d aː t iː r ə n	m a n d aː t iː r t	mandatieren	mandatiert	⋊ m a n d aː t iː r ə n ⋉	⋊ m a n d aː t iː r t ⋉
9053	12388	f ɛ r ʃ t oː s ə n	f ɛ r ʃ t oː s ə n	verstossen	verstossen	⋊ f ɛ r ʃ t oː s ə n ⋉	⋊ f ɛ r ʃ t oː s ə n ⋉
9066	12406	ʃ øː n m a x ə n	ʃ øː n g ə m a x t	schönmachen	schöngemacht	⋊ ʃ øː n m a x ə n ⋉	⋊ ʃ øː n g ə m a x t ⋉
9073	12414	z ɪ ç t ə n	g ə z ɪ ç t ə t	sichten	gesichtet	⋊ z ɪ ç t ə n ⋉	⋊ z ɪ ç t ə t ⋉
9076	12420	a k v a r ɛ l iː r ə n	a k v a r ɛ l iː r t	aquarellieren	aquarelliert	⋊ a k v a r ɛ l iː r ə n ⋉	⋊ a k v a r ɛ l iː r t ⋉
9086	12432	h a l b iː r ə n	h a l b iː r t	halbieren	halbiert	⋊ h a l b iː r ə n ⋉	⋊ h a l b iː r t ⋉
9088	12436	f ɛ r ʃ p r ɛ x ə n	f ɛ r ʃ p r ɔ x ə n	versprechen	versprochen	⋊ f ɛ r ʃ p r ɛ x ə n ⋉	⋊ f ɛ r ʃ p r ɔ x ə n ⋉
9126	12483	ʊ m v oː g ə n	ʊ m v oː k t	umwogen	umwogt	⋊ ʊ m v oː g ə n ⋉	⋊ ʊ m v oː k t ⋉
9139	12501	ʃ v ai̯ f ə n	g ə ʃ v ai̯ f t	schweifen	geschweift	⋊ ʃ v a i f ə n ⋉	⋊ ʃ v a i f t ⋉
9140	12502	ʊ m z ɛ ts ə n	ʊ m g ə z ɛ ts t	umsetzen	umgesetzt	⋊ ʊ m z ɛ ts ə n ⋉	⋊ ʊ m g ə z ɛ ts t ⋉
9152	12517	a n ʃ t ʏ r m ə n	a n g ə ʃ t ʏ r m t	anstürmen	angestürmt	⋊ a n ʃ t ʏ r m ə n ⋉	⋊ a n g ə ʃ t ʏ r m t ⋉
9153	12520	a n ʃ t ɛ l ə n	a n g ə ʃ t ɛ l t	anstellen	angestellt	⋊ a n ʃ t ɛ l ə n ⋉	⋊ a n g ə ʃ t ɛ l t ⋉
9156	12523	k uː m uː l iː r ə n	k uː m uː l iː r t	kumulieren	kumuliert	⋊ k uː m uː l iː r ə n ⋉	⋊ k uː m uː l iː r t ⋉
9181	12552	ai̯ n a r b ai̯ t ə n	ai̯ n g ə a r b ai̯ t ə t	einarbeiten	eingearbeitet	⋊ a i n a r b a i t ə n ⋉	⋊ a i n g ə a r b a i t ə t ⋉
9216	12603	a p ʃ v ɛ m ə n	a p g ə ʃ v ɛ m t	abschwemmen	abgeschwemmt	⋊ a p ʃ v ɛ m ə n ⋉	⋊ a p g ə ʃ v ɛ m t ⋉
9221	12610	yː b ə r f a l ə n	yː b ə r f a l ə n	überfallen	überfallen	⋊ yː b ə r f a l ə n ⋉	⋊ yː b ə r f a l ə n ⋉
9284	12696	p r ɛː g ə n	g ə p r ɛː k t	prägen	geprägt	⋊ p r ɛː g ə n ⋉	⋊ p r ɛː k t ⋉
9285	12697	yː b ə r g r ai̯ f ə n	yː b ə r g ə g r ɪ f ə n	übergreifen	übergegriffen	⋊ yː b ə r g r a i f ə n ⋉	⋊ yː b ə r g ə g r ɪ f ə n ⋉
9305	12730	ts uː v ɛ n d ə n	ts uː g ə v a n t	zuwenden	zugewandt	⋊ ts uː v ɛ n d ə n ⋉	⋊ ts uː g ə v a n t ⋉
9309	12734	l ai̯ x t m a x ə n	l ai̯ x t g ə m a x t	leichtmachen	leichtgemacht	⋊ l a i x t m a x ə n ⋉	⋊ l a i x t g ə m a x t ⋉
9326	12759	ʃ oː n ə n	g ə ʃ oː n t	schonen	geschont	⋊ ʃ oː n ə n ⋉	⋊ ʃ oː n t ⋉
9343	12782	au̯ f t r ɛ f ə n	au̯ f g ə t r ɔ f ə n	auftreffen	aufgetroffen	⋊ a u f t r ɛ f ə n ⋉	⋊ a u f g ə t r ɔ f ə n ⋉
9346	12787	ɛ r g eː ə n	ɛ r g a ŋ ə n	ergehen	ergangen	⋊ ɛ r g eː ə n ⋉	⋊ ɛ r g a ŋ ə n ⋉
9399	12873	b r a b ə l n	g ə b r a b ə l t	brabbeln	gebrabbelt	⋊ b r a b ə l n ⋉	⋊ b r a b ə l t ⋉
9420	12898	h ɛ r au̯ s h oː l ə n	h ɛ r au̯ s g ə h oː l t	herausholen	herausgeholt	⋊ h ɛ r a u s h oː l ə n ⋉	⋊ h ɛ r a u s g ə h oː l t ⋉
9457	12954	ɛ k s p l oː r iː r ə n	ɛ k s p l oː r iː r t	explorieren	exploriert	⋊ ɛ k s p l oː r iː r ə n ⋉	⋊ ɛ k s p l oː r iː r t ⋉
9486	12991	au̯ s l a x ə n	au̯ s g ə l a x t	auslachen	ausgelacht	⋊ a u s l a x ə n ⋉	⋊ a u s g ə l a x t ⋉
9493	13003	d ʊ r ç r ɛ x n ə n	d ʊ r ç g ə r ɛ x n ə t	durchrechnen	durchgerechnet	⋊ d ʊ r ç r ɛ x n ə n ⋉	⋊ d ʊ r ç g ə r ɛ x n ə t ⋉
9505	13027	f ɛ r h au̯ ə n	f ɛ r h au̯ t	verhauen	verhaut	⋊ f ɛ r h a u ə n ⋉	⋊ f ɛ r h a u t ⋉
9519	13048	f oː r t r eː t ə n	f oː r g ə t r eː t ə n	vortreten	vorgetreten	⋊ f oː r t r eː t ə n ⋉	⋊ f oː r g ə t r eː t ə n ⋉
9605	13179	a g l uː t iː n iː r ə n	a g l uː t iː n iː r t	agglutinieren	agglutiniert	⋊ a g l uː t iː n iː r ə n ⋉	⋊ a g l uː t iː n iː r t ⋉
9613	13189	v ʊ r m ə n	g ə v ʊ r m t	wurmen	gewurmt	⋊ v ʊ r m ə n ⋉	⋊ v ʊ r m t ⋉
9619	13197	ʃ n ʊ r ə n	g ə ʃ n ʊ r t	schnurren	geschnurrt	⋊ ʃ n ʊ r ə n ⋉	⋊ ʃ n ʊ r t ⋉
9684	13275	l ɪ n d ə r n	g ə l ɪ n d ə r t	lindern	gelindert	⋊ l ɪ n d ə r n ⋉	⋊ l ɪ n d ə r t ⋉
9696	13292	ɪ r ə f yː r ə n	ɪ r ə g ə f yː r t	irreführen	irregeführt	⋊ ɪ r ə f yː r ə n ⋉	⋊ ɪ r ə g ə f yː r t ⋉
9722	13327	b ə au̯ f t r aː g ə n	b ə au̯ f t r aː k t	beauftragen	beauftragt	⋊ b ə a u f t r aː g ə n ⋉	⋊ b ə a u f t r aː k t ⋉
9765	13389	a f ɪ ʃ iː r ə n	a f ɪ ʃ iː r t	affichieren	affichiert	⋊ a f ɪ ʃ iː r ə n ⋉	⋊ a f ɪ ʃ iː r t ⋉
9773	13400	a p oː k oː p iː r ə n	a p oː k oː p iː r t	apokopieren	apokopiert	⋊ a p oː k oː p iː r ə n ⋉	⋊ a p oː k oː p iː r t ⋉
9791	13422	m ɪ tʃ v ɪ ŋ ə n	m ɪ t g ə ʃ v ʊ ŋ ə n	mitschwingen	mitgeschwungen	⋊ m ɪ tʃ v ɪ ŋ ə n ⋉	⋊ m ɪ t g ə ʃ v ʊ ŋ ə n ⋉
9824	13464	f ɛ r f ɪ n s t ə r n	f ɛ r f ɪ n s t ə r t	verfinstern	verfinstert	⋊ f ɛ r f ɪ n s t ə r n ⋉	⋊ f ɛ r f ɪ n s t ə r t ⋉
9830	13470	yː b ə r h oː l ə n	yː b ə r g ə h oː l t	überholen	übergeholt	⋊ yː b ə r h oː l ə n ⋉	⋊ yː b ə r g ə h oː l t ⋉
9872	13526	ɛ r f ɔ r ʃ ə n	ɛ r f ɔ r ʃ t	erforschen	erforscht	⋊ ɛ r f ɔ r ʃ ə n ⋉	⋊ ɛ r f ɔ r ʃ t ⋉
9883	13541	ʊ m l au̯ f ə n	ʊ m l au̯ f ə n	umlaufen	umlaufen	⋊ ʊ m l a u f ə n ⋉	⋊ ʊ m l a u f ə n ⋉
9918	13584	a p ʃ l aː g ə n	a p g ə ʃ l aː g ə n	abschlagen	abgeschlagen	⋊ a p ʃ l aː g ə n ⋉	⋊ a p g ə ʃ l aː g ə n ⋉
9955	13634	f ɛ r d r iː s ə n	f ɛ r d r ɔ s ə n	verdriessen	verdrossen	⋊ f ɛ r d r iː s ə n ⋉	⋊ f ɛ r d r ɔ s ə n ⋉
9969	13649	m ʊ k ə n	g ə m ʊ k t	mucken	gemuckt	⋊ m ʊ k ə n ⋉	⋊ m ʊ k t ⋉
9994	13680	a p r ʊ n d ə n	a p g ə r ʊ n d ə t	abrunden	abgerundet	⋊ a p r ʊ n d ə n ⋉	⋊ a p g ə r ʊ n d ə t ⋉
10014	13706	b ə r ɪ ç t ə n	b ə r ɪ ç t ə t	berichten	berichtet	⋊ b ə r ɪ ç t ə n ⋉	⋊ b ə r ɪ ç t ə t ⋉
10016	13709	ɛ s k oː r t iː r ə n	ɛ s k oː r t iː r t	eskortieren	eskortiert	⋊ ɛ s k oː r t iː r ə n ⋉	⋊ ɛ s k oː r t iː r t ⋉
10039	13739	a p n ɪ b ə l n	a p g ə n ɪ b ə l t	abnibbeln	abgenibbelt	⋊ a p n ɪ b ə l n ⋉	⋊ a p g ə n ɪ b ə l t ⋉
10063	13772	p a t r ʊ l j iː r ə n	p a t r ʊ l j iː r t	patrouillieren	patrouilliert	⋊ p a t r ʊ l j iː r ə n ⋉	⋊ p a t r ʊ l j iː r t ⋉
10113	13834	ʃ l ɛ ŋ k ə r n	g ə ʃ l ɛ ŋ k ə r t	schlenkern	geschlenkert	⋊ ʃ l ɛ ŋ k ə r n ⋉	⋊ ʃ l ɛ ŋ k ə r t ⋉
10129	13861	ɛ r m ɛ x t ɪ g ə n	ɛ r m ɛ x t ɪ ç t	ermächtigen	ermächtigt	⋊ ɛ r m ɛ x t ɪ g ə n ⋉	⋊ ɛ r m ɛ x t ɪ ç t ⋉
10150	13888	l ʏ n x ə n	g ə l ʏ n x t	lynchen	gelyncht	⋊ l ʏ n x ə n ⋉	⋊ l ʏ n x t ⋉
10208	13964	au̯ s l oi̯ x t ə n	au̯ s g ə l oi̯ x t ə t	ausleuchten	ausgeleuchtet	⋊ a u s l o i x t ə n ⋉	⋊ a u s g ə l o i x t ə t ⋉
10216	13977	s m oː k ə n	g ə s m oː k t	smoken	gesmokt	⋊ s m oː k ə n ⋉	⋊ s m oː k t ⋉
10234	14003	d ʊ r ç z oi̯ x ə n	d ʊ r ç z oi̯ x t	durchseuchen	durchseucht	⋊ d ʊ r ç z o i x ə n ⋉	⋊ d ʊ r ç z o i x t ⋉
10250	14025	yː b ə r p ɪ n z ə l n	yː b ə r p ɪ n z ə l t	überpinseln	überpinselt	⋊ yː b ə r p ɪ n z ə l n ⋉	⋊ yː b ə r p ɪ n z ə l t ⋉
10263	14043	b ə z ɛ ts ə n	b ə z ɛ ts t	besetzen	besetzt	⋊ b ə z ɛ ts ə n ⋉	⋊ b ə z ɛ ts t ⋉
10323	14126	au̯ s b ɔ r g ə n	au̯ s g ə b ɔ r k t	ausborgen	ausgeborgt	⋊ a u s b ɔ r g ə n ⋉	⋊ a u s g ə b ɔ r k t ⋉
10358	14172	au̯ s l ai̯ ə n	au̯ s g ə l iː n	ausleihen	ausgeliehn	⋊ a u s l a i ə n ⋉	⋊ a u s g ə l iː n ⋉
10375	14195	v iː d ə r r aː t ə n	v iː d ə r r aː t ə n	widerraten	widerraten	⋊ v iː d ə r r aː t ə n ⋉	⋊ v iː d ə r r aː t ə n ⋉
10378	14198	ʊ m ʃ p r ɪ ŋ ə n	ʊ m g ə ʃ p r ʊ ŋ ə n	umspringen	umgesprungen	⋊ ʊ m ʃ p r ɪ ŋ ə n ⋉	⋊ ʊ m g ə ʃ p r ʊ ŋ ə n ⋉
10393	14222	b a l ə n	g ə b a l t	ballen	geballt	⋊ b a l ə n ⋉	⋊ b a l t ⋉
10421	14261	ʃ t ʊ k iː r ə n	ʃ t ʊ k iː r t	stuckieren	stuckiert	⋊ ʃ t ʊ k iː r ə n ⋉	⋊ ʃ t ʊ k iː r t ⋉
10426	14267	v ɛ r z iː f iː ts iː r ə n	v ɛ r z iː f iː ts iː r t	versifizieren	versifiziert	⋊ v ɛ r z iː f iː ts iː r ə n ⋉	⋊ v ɛ r z iː f iː ts iː r t ⋉
10428	14271	ts uː ʃ n a p ə n	ts uː g ə ʃ n a p t	zuschnappen	zugeschnappt	⋊ ts uː ʃ n a p ə n ⋉	⋊ ts uː g ə ʃ n a p t ⋉
10434	14279	k ɪ t n ɛ p ə n	g ə k ɪ t n ɛ p t	kidnappen	gekidnappt	⋊ k ɪ t n ɛ p ə n ⋉	⋊ k ɪ t n ɛ p t ⋉
10438	14286	d r ɛ ʃ ə n	g ə d r ɔ ʃ ə n	dreschen	gedroschen	⋊ d r ɛ ʃ ə n ⋉	⋊ d r ɔ ʃ ə n ⋉
10522	14402	f ɔ r t b l ai̯ b ə n	f ɔ r t g ə b l iː b ə n	fortbleiben	fortgeblieben	⋊ f ɔ r t b l a i b ə n ⋉	⋊ f ɔ r t g ə b l iː b ə n ⋉
10543	14429	b l ɛ x ə n	g ə b l ɛ x t	blechen	geblecht	⋊ b l ɛ x ə n ⋉	⋊ b l ɛ x t ⋉
10548	14437	g l ai̯ x t uː n	g l ai̯ x g ə t aː n	gleichtun	gleichgetan	⋊ g l a i x t uː n ⋉	⋊ g l a i x g ə t aː n ⋉
10557	14451	eː j iː ts iː r ə n	eː j iː ts iː r t	ejizieren	ejiziert	⋊ eː j iː ts iː r ə n ⋉	⋊ eː j iː ts iː r t ⋉
10617	14539	b ɪ n d ə n	g ə b ʊ n d ə n	binden	gebunden	⋊ b ɪ n d ə n ⋉	⋊ b ʊ n d ə n ⋉
10650	14584	ai̯ n b r ɔ k ə n	ai̯ n g ə b r ɔ k t	einbrocken	eingebrockt	⋊ a i n b r ɔ k ə n ⋉	⋊ a i n g ə b r ɔ k t ⋉
10662	14600	b ə n oː t ə n	b ə n oː t ə t	benoten	benotet	⋊ b ə n oː t ə n ⋉	⋊ b ə n oː t ə t ⋉
10666	14604	f ɛ r v ɪ n d ə n	f ɛ r v ʊ n d ə n	verwinden	verwunden	⋊ f ɛ r v ɪ n d ə n ⋉	⋊ f ɛ r v ʊ n d ə n ⋉
10680	14625	a p ts ɛː l ə n	a p g ə ts ɛː l t	abzaehlen	abgezaehlt	⋊ a p ts ɛː l ə n ⋉	⋊ a p g ə ts ɛː l t ⋉
10753	14724	ai̯ n h ɛ f t ə n	ai̯ n g ə h ɛ f t ə t	einheften	eingeheftet	⋊ a i n h ɛ f t ə n ⋉	⋊ a i n g ə h ɛ f t ə t ⋉
10756	14727	f ai̯ m ə n	g ə f ai̯ m t	feimen	gefeimt	⋊ f a i m ə n ⋉	⋊ f a i m t ⋉
10781	14762	a p k l ɪ ŋ ə n	a p g ə k l ʊ ŋ ə n	abklingen	abgeklungen	⋊ a p k l ɪ ŋ ə n ⋉	⋊ a p g ə k l ʊ ŋ ə n ⋉
10791	14774	k s eː r oː k oː p iː r ə n	k s eː r oː k oː p iː r t	xerokopieren	xerokopiert	⋊ k s eː r oː k oː p iː r ə n ⋉	⋊ k s eː r oː k oː p iː r t ⋉
10798	14785	k ʊ n t ʃ a f t ə n	g ə k ʊ n t ʃ a f t ə t	kundschaften	gekundschaftet	⋊ k ʊ n t ʃ a f t ə n ⋉	⋊ k ʊ n t ʃ a f t ə t ⋉
10800	14787	aː b ə n t oi̯ ə r n	g ə aː b ə n t oi̯ ə r t	abenteuern	geabenteuert	⋊ aː b ə n t o i ə r n ⋉	⋊ aː b ə n t o i ə r t ⋉
10815	14808	a n v oː n ə n	a n g ə v oː n t	anwohnen	angewohnt	⋊ a n v oː n ə n ⋉	⋊ a n g ə v oː n t ⋉
10830	14824	n a v iː g iː r ə n	n a v iː g iː r t	navigieren	navigiert	⋊ n a v iː g iː r ə n ⋉	⋊ n a v iː g iː r t ⋉
10838	14834	ai̯ n f r ɔ s t ə n	ai̯ n g ə f r ɔ s t ə t	einfrosten	eingefrostet	⋊ a i n f r ɔ s t ə n ⋉	⋊ a i n g ə f r ɔ s t ə t ⋉
10859	14863	z ʏ n t eː t iː z iː r ə n	z ʏ n t eː t iː z iː r t	synthetisieren	synthetisiert	⋊ z ʏ n t eː t iː z iː r ə n ⋉	⋊ z ʏ n t eː t iː z iː r t ⋉
10876	14887	r ai̯ s ə n	g ə r ɪ s ə n	reissen	gerissen	⋊ r a i s ə n ⋉	⋊ r ɪ s ə n ⋉
10882	14893	au̯ f v a k s ə n	au̯ f g ə v a k s ə n	aufwachsen	aufgewachsen	⋊ a u f v a k s ə n ⋉	⋊ a u f g ə v a k s ə n ⋉
10887	14900	b ə a r b ai̯ t ə n	b ə a r b ai̯ t ə t	bearbeiten	bearbeitet	⋊ b ə a r b a i t ə n ⋉	⋊ b ə a r b a i t ə t ⋉
10900	14919	au̯ f m ʊ k ə n	au̯ f g ə m ʊ k t	aufmucken	aufgemuckt	⋊ a u f m ʊ k ə n ⋉	⋊ a u f g ə m ʊ k t ⋉
10998	15052	a b a n d ɔ n iː r ə n	a b a n d ɔ n iː r t	abandonnieren	abandonniert	⋊ a b a n d ɔ n iː r ə n ⋉	⋊ a b a n d ɔ n iː r t ⋉
11067	15145	a n h ɛː k ə l n	a n g ə h ɛː k ə l t	anhäkeln	angehäkelt	⋊ a n h ɛː k ə l n ⋉	⋊ a n g ə h ɛː k ə l t ⋉
11070	15148	a p l eː d ə r n	a p g ə l eː d ə r t	abledern	abgeledert	⋊ a p l eː d ə r n ⋉	⋊ a p g ə l eː d ə r t ⋉
11139	15256	d ʊ r ç l oi̯ x t ə n	d ʊ r ç g ə l oi̯ x t ə t	durchleuchten	durchgeleuchtet	⋊ d ʊ r ç l o i x t ə n ⋉	⋊ d ʊ r ç g ə l o i x t ə t ⋉
11158	15281	f ɛ r ɛ n d ə r n	f ɛ r ɛ n d ə r t	verändern	verändert	⋊ f ɛ r ɛ n d ə r n ⋉	⋊ f ɛ r ɛ n d ə r t ⋉
11192	15323	f oː r b ɪ n d ə n	f oː r g ə b ʊ n d ə n	vorbinden	vorgebunden	⋊ f oː r b ɪ n d ə n ⋉	⋊ f oː r g ə b ʊ n d ə n ⋉
11223	15362	au̯ f p a k ə n	au̯ f g ə p a k t	aufpacken	aufgepackt	⋊ a u f p a k ə n ⋉	⋊ a u f g ə p a k t ⋉
11224	15363	v oː r v ɛ n d ə n	v oː r g ə v ɛ n d ə t	vorwenden	vorgewendet	⋊ v oː r v ɛ n d ə n ⋉	⋊ v oː r g ə v ɛ n d ə t ⋉
11237	15381	a n pf l a n ts ə n	a n g ə pf l a n ts t	anpflanzen	angepflanzt	⋊ a n pf l a n ts ə n ⋉	⋊ a n g ə pf l a n ts t ⋉
11301	15461	k ʏ s ə n	g ə k ʏ s t	küssen	geküsst	⋊ k ʏ s ə n ⋉	⋊ k ʏ s t ⋉
11323	15490	j au̯ l ə n	g ə j au̯ l t	jaulen	gejault	⋊ j a u l ə n ⋉	⋊ j a u l t ⋉
11365	15553	a n f yː g ə n	a n g ə f yː k t	anfügen	angefügt	⋊ a n f yː g ə n ⋉	⋊ a n g ə f yː k t ⋉
11391	15588	f ɛ r k n oː t ə n	f ɛ r k n oː t ə t	verknoten	verknotet	⋊ f ɛ r k n oː t ə n ⋉	⋊ f ɛ r k n oː t ə t ⋉
11394	15591	g a r n iː r ə n	g a r n iː r t	garnieren	garniert	⋊ g a r n iː r ə n ⋉	⋊ g a r n iː r t ⋉
11403	15602	f iː l eː t iː r ə n	f iː l eː t iː r t	filetieren	filetiert	⋊ f iː l eː t iː r ə n ⋉	⋊ f iː l eː t iː r t ⋉
11437	15646	a p h aː b ə n	a p g ə h aː p t	abhaben	abgehabt	⋊ a p h aː b ə n ⋉	⋊ a p g ə h aː p t ⋉
11439	15648	p ɛ p ə l n	g ə p ɛ p ə l t	päppeln	gepäppelt	⋊ p ɛ p ə l n ⋉	⋊ p ɛ p ə l t ⋉
11444	15655	ɛ r b r ai̯ s t ə n	ɛ r b r ai̯ s t ə t	erbreisten	erbreistet	⋊ ɛ r b r a i s t ə n ⋉	⋊ ɛ r b r a i s t ə t ⋉
11459	15674	ts uː ʃ au̯ ə n	ts uː g ə ʃ au̯ t	zuschauen	zugeschaut	⋊ ts uː ʃ a u ə n ⋉	⋊ ts uː g ə ʃ a u t ⋉
11481	15701	a p r eː t iː r ə n	a p r eː t iː r t	appretieren	appretiert	⋊ a p r eː t iː r ə n ⋉	⋊ a p r eː t iː r t ⋉
11488	15711	ʃ l ɛ ŋ ə l n	g ə ʃ l ɛ ŋ ə l t	schlängeln	geschlängelt	⋊ ʃ l ɛ ŋ ə l n ⋉	⋊ ʃ l ɛ ŋ ə l t ⋉
