wordform1	wordform2	stem	output
t s ai̯ d ə n	ɡ ə t s ai̯ d ə t	⋊ t s a i d ə n ⋉	⋊ t s a i d ə t ⋉
t s ai̯ d ə n	ɡ ə t s iː d ə n	⋊ t s a i d ə n ⋉	⋊ t s iː d ə n ⋉
t s au̯ ə n	ɡ ə t s au̯ t	⋊ t s a u ə n ⋉	⋊ t s a u t ⋉
t s au̯ ə n	ɡ ə t s au̯ n	⋊ t s a u ə n ⋉	⋊ t s a u n ⋉
t s au̯ f ə n	ɡ ə t s au̯ f t	⋊ t s a u f ə n ⋉	⋊ t s a u f t ⋉
t s au̯ f ə n	ɡ ə t s iː f ə n	⋊ t s a u f ə n ⋉	⋊ t s iː f ə n ⋉
t s ɪ ŋ ə n	ɡ ə t s ɪ ŋ t	⋊ t s ɪ ŋ ə n ⋉	⋊ t s ɪ ŋ t ⋉
t s ɪ ŋ ə n	ɡ ə t s ʊ ŋ ə n	⋊ t s ɪ ŋ ə n ⋉	⋊ t s ʊ ŋ ə n ⋉
t s v ai̯ ə n	ɡ ə t s v ai̯ t	⋊ t s v a i ə n ⋉	⋊ t s v a i t ⋉
t s v ai̯ ə n	ɡ ə t s v ai̯ n	⋊ t s v a i ə n ⋉	⋊ t s v a i n ⋉
t s v ɛ r ə n	ɡ ə t s v ɛ r t	⋊ t s v ɛ r ə n ⋉	⋊ t s v ɛ r t ⋉
t s v ɛ r ə n	ɡ ə t s v ɔ r ə n	⋊ t s v ɛ r ə n ⋉	⋊ t s v ɔ r ə n ⋉
ʊ m ai̯ ə n	ɡ ə ʊ m ai̯ t	⋊ ʊ m a i ə n ⋉	⋊ ʊ m a i t ⋉
v ai̯ ʃ ə n	ɡ ə v ai̯ ʃ t	⋊ v a i ʃ ə n ⋉	⋊ v a i ʃ t ⋉
v ai̯ ʃ ə n	ɡ ə v iː ʃ ə n	⋊ v a i ʃ ə n ⋉	⋊ v iː ʃ ə n ⋉
v au̯ f ə n	ɡ ə v au̯ f t	⋊ v a u f ə n ⋉	⋊ v a u f t ⋉
v au̯ f ə n	ɡ ə v ɔ f ə n	⋊ v a u f ə n ⋉	⋊ v ɔ f ə n ⋉
v ɪ ŋ ə n	ɡ ə v ʊ ŋ ə n	⋊ v ɪ ŋ ə n ⋉	⋊ v ʊ ŋ ə n ⋉
v ɪ ŋ ə n	ɡ ə v ɪ ŋ t	⋊ v ɪ ŋ ə n ⋉	⋊ v ɪ ŋ t ⋉
v ʏ l ə n	ɡ ə v ʏ l t	⋊ v ʏ l ə n ⋉	⋊ v ʏ l t ⋉
v ʏ l ə n	ɡ ə v ʏ l ə n	⋊ v ʏ l ə n ⋉	⋊ v ʏ l ə n ⋉
z ai̯ d ə n	ɡ ə z ai̯ d ə t	⋊ z a i d ə n ⋉	⋊ z a i d ə t ⋉
z ai̯ d ə n	ɡ ə z ɔ t ə n	⋊ z a i d ə n ⋉	⋊ z ɔ t ə n ⋉
z ai̯ ə n	ɡ ə z ai̯ t	⋊ z a i ə n ⋉	⋊ z a i t ⋉
z ai̯ ə n	ɡ ə z ɔ t ə n	⋊ z a i ə n ⋉	⋊ z ɔ t ə n ⋉
z au̯ ə n	ɡ ə z au̯ t	⋊ z a u ə n ⋉	⋊ z a u t ⋉
z au̯ ə n	ɡ ə z ɔ t	⋊ z a u ə n ⋉	⋊ z ɔ t ⋉
z iːə n	ɡ ə z iː t	⋊ z iː ə n ⋉	⋊ z iː t ⋉
z iːə n	ɡ ə z ɔ t	⋊ z iː ə n ⋉	⋊ z ɔ t ⋉
z ɪ s ə n	ɡ ə z ʊ s ə n	⋊ z ɪ s ə n ⋉	⋊ z ʊ s ə n ⋉
z ɪ s ə n	ɡ ə z ɔ s ə n	⋊ z ɪ s ə n ⋉	⋊ z ɔ s ə n ⋉
ʒ ɛ ŋ ə n	ɡ ə ʒ ɛ ŋ t	⋊ ʒ ɛ ŋ ə n ⋉	⋊ ʒ ɛ ŋ t ⋉
ʒ ɛ ŋ ə n	ɡ ə ʒ ɛ ŋ ə n	⋊ ʒ ɛ ŋ ə n ⋉	⋊ ʒ ɛ ŋ ə n ⋉
